evaluation 10: speed 0.067807, force 0.0331 N, moment 0.0107 Nm, torque margin -0.0003 Nm, penetration 0.000005 m
evaluation 20: speed 0.067807, force 0.0331 N, moment 0.0107 Nm, torque margin -0.0003 Nm, penetration 0.000005 m
evaluation 30: speed 0.067807, force 0.0331 N, moment 0.0107 Nm, torque margin -0.0003 Nm, penetration 0.000005 m
evaluation 40: speed 0.067807, force 0.0331 N, moment 0.0107 Nm, torque margin -0.0003 Nm, penetration 0.000005 m
evaluation 50: speed 0.067807, force 0.0331 N, moment 0.0107 Nm, torque margin -0.0003 Nm, penetration 0.000005 m
evaluation 60: speed 0.067807, force 0.0331 N, moment 0.0107 Nm, torque margin -0.0004 Nm, penetration 0.000005 m
evaluation 70: speed 0.067807, force 0.0332 N, moment 0.0108 Nm, torque margin -0.0003 Nm, penetration 0.000005 m
evaluation 80: speed 0.067807, force 0.0331 N, moment 0.0107 Nm, torque margin -0.0003 Nm, penetration 0.000005 m
evaluation 90: speed 0.067807, force 0.0329 N, moment 0.0106 Nm, torque margin -0.0003 Nm, penetration 0.000005 m
evaluation 100: speed 0.067807, force 0.0331 N, moment 0.0107 Nm, torque margin -0.0001 Nm, penetration 0.000005 m
evaluation 110: speed 0.070653, force 0.0343 N, moment 0.0111 Nm, torque margin -0.0032 Nm, penetration 0.000009 m
evaluation 120: speed 0.070663, force 0.0343 N, moment 0.0111 Nm, torque margin -0.0034 Nm, penetration 0.000009 m
evaluation 130: speed 0.070663, force 0.0343 N, moment 0.0111 Nm, torque margin -0.0034 Nm, penetration 0.000009 m
evaluation 140: speed 0.070663, force 0.0344 N, moment 0.0111 Nm, torque margin -0.0034 Nm, penetration 0.000009 m
evaluation 150: speed 0.070663, force 0.0343 N, moment 0.0111 Nm, torque margin -0.0034 Nm, penetration 0.000009 m
evaluation 160: speed 0.070663, force 0.0343 N, moment 0.0111 Nm, torque margin -0.0034 Nm, penetration 0.000009 m
evaluation 170: speed 0.070663, force 0.0343 N, moment 0.0111 Nm, torque margin -0.0037 Nm, penetration 0.000009 m
