evaluation 10: speed 0.184177, force 0.5323 N, moment 0.1722 Nm, torque margin -0.0804 Nm, penetration 0.000200 m
evaluation 20: speed 0.184177, force 0.5324 N, moment 0.1723 Nm, torque margin -0.0804 Nm, penetration 0.000200 m
evaluation 30: speed 0.184177, force 0.5323 N, moment 0.1722 Nm, torque margin -0.0804 Nm, penetration 0.000200 m
evaluation 40: speed 0.184177, force 0.5323 N, moment 0.1722 Nm, torque margin -0.0804 Nm, penetration 0.000200 m
evaluation 50: speed 0.184177, force 0.5322 N, moment 0.1722 Nm, torque margin -0.0804 Nm, penetration 0.000200 m
evaluation 60: speed 0.184177, force 0.5334 N, moment 0.1726 Nm, torque margin -0.0804 Nm, penetration 0.000200 m
evaluation 70: speed 0.184177, force 0.5323 N, moment 0.1722 Nm, torque margin -0.0804 Nm, penetration 0.000200 m
evaluation 80: speed 0.184177, force 0.5323 N, moment 0.1722 Nm, torque margin -0.0804 Nm, penetration 0.000200 m
evaluation 90: speed 0.184177, force 0.5323 N, moment 0.1722 Nm, torque margin -0.0804 Nm, penetration 0.000200 m
evaluation 100: speed 0.184177, force 0.5326 N, moment 0.1723 Nm, torque margin -0.0804 Nm, penetration 0.000200 m
evaluation 110: speed 0.102206, force 0.2039 N, moment 0.0662 Nm, torque margin -0.6352 Nm, penetration 0.000074 m
evaluation 120: speed 0.102219, force 0.2038 N, moment 0.0661 Nm, torque margin -0.6352 Nm, penetration 0.000074 m
evaluation 130: speed 0.102219, force 0.2038 N, moment 0.0661 Nm, torque margin -0.6352 Nm, penetration 0.000074 m
evaluation 140: speed 0.102219, force 0.2038 N, moment 0.0661 Nm, torque margin -0.6352 Nm, penetration 0.000074 m
evaluation 150: speed 0.102219, force 0.2038 N, moment 0.0661 Nm, torque margin -0.6352 Nm, penetration 0.000074 m
evaluation 160: speed 0.102219, force 0.2038 N, moment 0.0661 Nm, torque margin -0.6352 Nm, penetration 0.000074 m
evaluation 170: speed 0.102219, force 0.2038 N, moment 0.0661 Nm, torque margin -0.6352 Nm, penetration 0.000074 m
evaluation 180: speed 0.102219, force 0.2038 N, moment 0.0661 Nm, torque margin -0.6352 Nm, penetration 0.000074 m
evaluation 190: speed 0.102219, force 0.2038 N, moment 0.0661 Nm, torque margin -0.6353 Nm, penetration 0.000074 m
evaluation 200: speed 0.102219, force 0.2036 N, moment 0.0661 Nm, torque margin -0.6352 Nm, penetration 0.000074 m
evaluation 210: speed 0.102219, force 0.2038 N, moment 0.0661 Nm, torque margin -0.6352 Nm, penetration 0.000074 m
evaluation 220: speed 0.029364, force 0.4271 N, moment 0.1379 Nm, torque margin -0.3295 Nm, penetration 0.000094 m
evaluation 230: speed 0.029364, force 0.4271 N, moment 0.1379 Nm, torque margin -0.3296 Nm, penetration 0.000094 m
evaluation 240: speed 0.029364, force 0.4271 N, moment 0.1379 Nm, torque margin -0.3296 Nm, penetration 0.000094 m
evaluation 250: speed 0.029364, force 0.4271 N, moment 0.1379 Nm, torque margin -0.3296 Nm, penetration 0.000094 m
evaluation 260: speed 0.029364, force 0.4272 N, moment 0.1379 Nm, torque margin -0.3296 Nm, penetration 0.000094 m
evaluation 270: speed 0.029364, force 0.4272 N, moment 0.1380 Nm, torque margin -0.3296 Nm, penetration 0.000094 m
evaluation 280: speed 0.029364, force 0.4270 N, moment 0.1379 Nm, torque margin -0.3295 Nm, penetration 0.000094 m
evaluation 290: speed 0.029364, force 0.4271 N, moment 0.1379 Nm, torque margin -0.3295 Nm, penetration 0.000094 m
evaluation 300: speed 0.029364, force 0.4271 N, moment 0.1379 Nm, torque margin -0.3296 Nm, penetration 0.000094 m
evaluation 310: speed 0.029364, force 0.4271 N, moment 0.1379 Nm, torque margin -0.3295 Nm, penetration 0.000094 m
evaluation 320: speed 0.030407, force 0.4481 N, moment 0.1435 Nm, torque margin -0.2117 Nm, penetration 0.000154 m
evaluation 330: speed 0.030407, force 0.4481 N, moment 0.1435 Nm, torque margin -0.2117 Nm, penetration 0.000154 m
evaluation 340: speed 0.030407, force 0.4481 N, moment 0.1435 Nm, torque margin -0.2117 Nm, penetration 0.000154 m
evaluation 350: speed 0.030407, force 0.4481 N, moment 0.1435 Nm, torque margin -0.2117 Nm, penetration 0.000154 m
evaluation 360: speed 0.030407, force 0.4481 N, moment 0.1435 Nm, torque margin -0.2117 Nm, penetration 0.000154 m
evaluation 370: speed 0.030407, force 0.4481 N, moment 0.1435 Nm, torque margin -0.2117 Nm, penetration 0.000154 m
evaluation 380: speed 0.030407, force 0.4480 N, moment 0.1435 Nm, torque margin -0.2118 Nm, penetration 0.000154 m
evaluation 390: speed 0.030407, force 0.4481 N, moment 0.1435 Nm, torque margin -0.2117 Nm, penetration 0.000154 m
evaluation 400: speed 0.030407, force 0.4481 N, moment 0.1435 Nm, torque margin -0.2117 Nm, penetration 0.000154 m
evaluation 410: speed 0.030407, force 0.4481 N, moment 0.1435 Nm, torque margin -0.2117 Nm, penetration 0.000154 m
evaluation 420: speed 0.030484, force 0.4584 N, moment 0.1466 Nm, torque margin -0.1032 Nm, penetration 0.000074 m
evaluation 430: speed 0.030484, force 0.4584 N, moment 0.1466 Nm, torque margin -0.1032 Nm, penetration 0.000074 m
evaluation 440: speed 0.030484, force 0.4583 N, moment 0.1466 Nm, torque margin -0.1032 Nm, penetration 0.000074 m
evaluation 450: speed 0.030484, force 0.4584 N, moment 0.1466 Nm, torque margin -0.1032 Nm, penetration 0.000074 m
evaluation 460: speed 0.030484, force 0.4584 N, moment 0.1466 Nm, torque margin -0.1032 Nm, penetration 0.000074 m
evaluation 470: speed 0.030484, force 0.4584 N, moment 0.1466 Nm, torque margin -0.1032 Nm, penetration 0.000074 m
evaluation 480: speed 0.030484, force 0.4584 N, moment 0.1466 Nm, torque margin -0.1032 Nm, penetration 0.000074 m
evaluation 490: speed 0.030484, force 0.4584 N, moment 0.1466 Nm, torque margin -0.1032 Nm, penetration 0.000074 m
evaluation 500: speed 0.030484, force 0.4584 N, moment 0.1466 Nm, torque margin -0.1032 Nm, penetration 0.000074 m
evaluation 510: speed 0.030484, force 0.4584 N, moment 0.1466 Nm, torque margin -0.1032 Nm, penetration 0.000074 m
evaluation 520: speed 0.031351, force 0.2012 N, moment 0.0643 Nm, torque margin 0.0057 Nm, penetration 0.000034 m
evaluation 530: speed 0.031351, force 0.2012 N, moment 0.0643 Nm, torque margin 0.0057 Nm, penetration 0.000034 m
evaluation 540: speed 0.031351, force 0.2012 N, moment 0.0643 Nm, torque margin 0.0057 Nm, penetration 0.000034 m
evaluation 550: speed 0.031351, force 0.2012 N, moment 0.0643 Nm, torque margin 0.0057 Nm, penetration 0.000034 m
evaluation 560: speed 0.031351, force 0.2012 N, moment 0.0643 Nm, torque margin 0.0057 Nm, penetration 0.000034 m
evaluation 570: speed 0.031351, force 0.2012 N, moment 0.0643 Nm, torque margin 0.0057 Nm, penetration 0.000034 m
evaluation 580: speed 0.031351, force 0.2012 N, moment 0.0643 Nm, torque margin 0.0057 Nm, penetration 0.000034 m
evaluation 590: speed 0.031351, force 0.2012 N, moment 0.0643 Nm, torque margin 0.0056 Nm, penetration 0.000034 m
evaluation 600: speed 0.031351, force 0.2012 N, moment 0.0643 Nm, torque margin 0.0057 Nm, penetration 0.000034 m
evaluation 610: speed 0.031351, force 0.2012 N, moment 0.0643 Nm, torque margin 0.0057 Nm, penetration 0.000034 m
evaluation 620: speed 0.028922, force 0.0888 N, moment 0.0293 Nm, torque margin 0.1879 Nm, penetration 0.000016 m
evaluation 630: speed 0.028922, force 0.0888 N, moment 0.0293 Nm, torque margin 0.1880 Nm, penetration 0.000016 m
evaluation 640: speed 0.028922, force 0.0888 N, moment 0.0293 Nm, torque margin 0.1880 Nm, penetration 0.000016 m
evaluation 650: speed 0.028922, force 0.0888 N, moment 0.0293 Nm, torque margin 0.1880 Nm, penetration 0.000016 m
evaluation 660: speed 0.028922, force 0.0888 N, moment 0.0293 Nm, torque margin 0.1880 Nm, penetration 0.000016 m
evaluation 670: speed 0.028922, force 0.0888 N, moment 0.0293 Nm, torque margin 0.1880 Nm, penetration 0.000016 m
evaluation 680: speed 0.028922, force 0.0888 N, moment 0.0293 Nm, torque margin 0.1880 Nm, penetration 0.000016 m
