evaluation 10: speed 0.041099, force 0.0192 N, moment 0.0062 Nm, torque margin 0.2325 Nm, penetration 0.000006 m
evaluation 20: speed 0.041099, force 0.0192 N, moment 0.0062 Nm, torque margin 0.2325 Nm, penetration 0.000006 m
evaluation 30: speed 0.041099, force 0.0192 N, moment 0.0062 Nm, torque margin 0.2325 Nm, penetration 0.000006 m
evaluation 40: speed 0.041099, force 0.0192 N, moment 0.0062 Nm, torque margin 0.2325 Nm, penetration 0.000006 m
evaluation 50: speed 0.041099, force 0.0192 N, moment 0.0062 Nm, torque margin 0.2325 Nm, penetration 0.000006 m
evaluation 60: speed 0.041099, force 0.0192 N, moment 0.0062 Nm, torque margin 0.2325 Nm, penetration 0.000006 m
evaluation 70: speed 0.041099, force 0.0193 N, moment 0.0063 Nm, torque margin 0.2325 Nm, penetration 0.000006 m
evaluation 80: speed 0.041099, force 0.0192 N, moment 0.0062 Nm, torque margin 0.2325 Nm, penetration 0.000006 m
evaluation 90: speed 0.041099, force 0.0190 N, moment 0.0062 Nm, torque margin 0.2325 Nm, penetration 0.000006 m
evaluation 100: speed 0.041099, force 0.0192 N, moment 0.0062 Nm, torque margin 0.2327 Nm, penetration 0.000006 m
evaluation 110: speed 0.069614, force 0.0479 N, moment 0.0155 Nm, torque margin -0.0827 Nm, penetration 0.000034 m
evaluation 120: speed 0.069604, force 0.0479 N, moment 0.0155 Nm, torque margin -0.0827 Nm, penetration 0.000034 m
evaluation 130: speed 0.069604, force 0.0479 N, moment 0.0155 Nm, torque margin -0.0827 Nm, penetration 0.000034 m
evaluation 140: speed 0.069604, force 0.0478 N, moment 0.0154 Nm, torque margin -0.0827 Nm, penetration 0.000034 m
evaluation 150: speed 0.069604, force 0.0479 N, moment 0.0155 Nm, torque margin -0.0827 Nm, penetration 0.000034 m
evaluation 160: speed 0.069604, force 0.0479 N, moment 0.0155 Nm, torque margin -0.0827 Nm, penetration 0.000034 m
evaluation 170: speed 0.069604, force 0.0479 N, moment 0.0155 Nm, torque margin -0.0827 Nm, penetration 0.000034 m
evaluation 180: speed 0.069604, force 0.0479 N, moment 0.0155 Nm, torque margin -0.0827 Nm, penetration 0.000034 m
evaluation 190: speed 0.069604, force 0.0479 N, moment 0.0155 Nm, torque margin -0.0827 Nm, penetration 0.000034 m
evaluation 200: speed 0.069604, force 0.0477 N, moment 0.0154 Nm, torque margin -0.0827 Nm, penetration 0.000034 m
evaluation 210: speed 0.069604, force 0.0479 N, moment 0.0155 Nm, torque margin -0.0827 Nm, penetration 0.000034 m
evaluation 220: speed 0.072501, force 0.0499 N, moment 0.0161 Nm, torque margin -0.0852 Nm, penetration 0.000030 m
evaluation 230: speed 0.072501, force 0.0511 N, moment 0.0165 Nm, torque margin -0.0852 Nm, penetration 0.000030 m
evaluation 240: speed 0.072501, force 0.0500 N, moment 0.0162 Nm, torque margin -0.0852 Nm, penetration 0.000030 m
evaluation 250: speed 0.072501, force 0.0500 N, moment 0.0162 Nm, torque margin -0.0852 Nm, penetration 0.000030 m
evaluation 260: speed 0.072501, force 0.0500 N, moment 0.0162 Nm, torque margin -0.0852 Nm, penetration 0.000030 m
evaluation 270: speed 0.072501, force 0.0500 N, moment 0.0162 Nm, torque margin -0.0852 Nm, penetration 0.000030 m
evaluation 280: speed 0.072501, force 0.0500 N, moment 0.0162 Nm, torque margin -0.0852 Nm, penetration 0.000030 m
evaluation 290: speed 0.072501, force 0.0501 N, moment 0.0162 Nm, torque margin -0.0852 Nm, penetration 0.000030 m
evaluation 300: speed 0.072501, force 0.0500 N, moment 0.0162 Nm, torque margin -0.0852 Nm, penetration 0.000030 m
evaluation 310: speed 0.072501, force 0.0500 N, moment 0.0162 Nm, torque margin -0.0852 Nm, penetration 0.000030 m
evaluation 320: speed 0.073360, force 0.0502 N, moment 0.0163 Nm, torque margin -0.0847 Nm, penetration 0.000030 m
evaluation 330: speed 0.073354, force 0.0504 N, moment 0.0163 Nm, torque margin -0.0847 Nm, penetration 0.000030 m
evaluation 340: speed 0.073354, force 0.0504 N, moment 0.0163 Nm, torque margin -0.0847 Nm, penetration 0.000030 m
evaluation 350: speed 0.073354, force 0.0503 N, moment 0.0163 Nm, torque margin -0.0850 Nm, penetration 0.000030 m
evaluation 360: speed 0.073354, force 0.0504 N, moment 0.0163 Nm, torque margin -0.0847 Nm, penetration 0.000030 m
evaluation 370: speed 0.073354, force 0.0504 N, moment 0.0163 Nm, torque margin -0.0847 Nm, penetration 0.000030 m
