evaluation 10: speed 0.184177, force 0.5347 N, moment 0.1730 Nm, torque margin -0.0803 Nm, penetration 0.000197 m
evaluation 20: speed 0.184177, force 0.5348 N, moment 0.1730 Nm, torque margin -0.0803 Nm, penetration 0.000197 m
evaluation 30: speed 0.184177, force 0.5347 N, moment 0.1730 Nm, torque margin -0.0803 Nm, penetration 0.000197 m
evaluation 40: speed 0.184177, force 0.5347 N, moment 0.1730 Nm, torque margin -0.0803 Nm, penetration 0.000197 m
evaluation 50: speed 0.184177, force 0.5348 N, moment 0.1731 Nm, torque margin -0.0803 Nm, penetration 0.000197 m
evaluation 60: speed 0.184177, force 0.5337 N, moment 0.1727 Nm, torque margin -0.0803 Nm, penetration 0.000197 m
evaluation 70: speed 0.184177, force 0.5348 N, moment 0.1730 Nm, torque margin -0.0803 Nm, penetration 0.000197 m
evaluation 80: speed 0.184177, force 0.5348 N, moment 0.1730 Nm, torque margin -0.0803 Nm, penetration 0.000197 m
evaluation 90: speed 0.184177, force 0.5347 N, moment 0.1730 Nm, torque margin -0.0803 Nm, penetration 0.000197 m
evaluation 100: speed 0.184177, force 0.5345 N, moment 0.1729 Nm, torque margin -0.0803 Nm, penetration 0.000197 m
evaluation 110: speed 0.133104, force 0.1786 N, moment 0.0574 Nm, torque margin -0.0929 Nm, penetration 0.000014 m
evaluation 120: speed 0.133090, force 0.1786 N, moment 0.0574 Nm, torque margin -0.0929 Nm, penetration 0.000014 m
evaluation 130: speed 0.133090, force 0.1786 N, moment 0.0575 Nm, torque margin -0.0929 Nm, penetration 0.000014 m
evaluation 140: speed 0.133090, force 0.1786 N, moment 0.0574 Nm, torque margin -0.0929 Nm, penetration 0.000014 m
evaluation 150: speed 0.133090, force 0.1784 N, moment 0.0574 Nm, torque margin -0.0929 Nm, penetration 0.000014 m
evaluation 160: speed 0.133090, force 0.1786 N, moment 0.0574 Nm, torque margin -0.0929 Nm, penetration 0.000014 m
evaluation 170: speed 0.133090, force 0.1785 N, moment 0.0574 Nm, torque margin -0.0929 Nm, penetration 0.000014 m
evaluation 180: speed 0.133090, force 0.1786 N, moment 0.0574 Nm, torque margin -0.0929 Nm, penetration 0.000014 m
evaluation 190: speed 0.133090, force 0.1783 N, moment 0.0573 Nm, torque margin -0.0929 Nm, penetration 0.000014 m
evaluation 200: speed 0.133090, force 0.1786 N, moment 0.0574 Nm, torque margin -0.0929 Nm, penetration 0.000014 m
evaluation 210: speed 0.133090, force 0.1786 N, moment 0.0574 Nm, torque margin -0.0929 Nm, penetration 0.000014 m
evaluation 220: speed 0.100638, force 0.2904 N, moment 0.0937 Nm, torque margin -0.0873 Nm, penetration 0.000008 m
evaluation 230: speed 0.100638, force 0.2904 N, moment 0.0937 Nm, torque margin -0.0873 Nm, penetration 0.000008 m
evaluation 240: speed 0.100638, force 0.2903 N, moment 0.0936 Nm, torque margin -0.0873 Nm, penetration 0.000008 m
evaluation 250: speed 0.100638, force 0.2904 N, moment 0.0937 Nm, torque margin -0.0873 Nm, penetration 0.000008 m
evaluation 260: speed 0.100638, force 0.2904 N, moment 0.0937 Nm, torque margin -0.0873 Nm, penetration 0.000008 m
evaluation 270: speed 0.100638, force 0.2904 N, moment 0.0937 Nm, torque margin -0.0873 Nm, penetration 0.000008 m
evaluation 280: speed 0.100638, force 0.2904 N, moment 0.0937 Nm, torque margin -0.0873 Nm, penetration 0.000008 m
evaluation 290: speed 0.100638, force 0.2899 N, moment 0.0935 Nm, torque margin -0.0873 Nm, penetration 0.000008 m
evaluation 300: speed 0.100638, force 0.2904 N, moment 0.0936 Nm, torque margin -0.0873 Nm, penetration 0.000008 m
evaluation 310: speed 0.100638, force 0.2904 N, moment 0.0937 Nm, torque margin -0.0873 Nm, penetration 0.000008 m
evaluation 320: speed 0.090662, force 0.0708 N, moment 0.0228 Nm, torque margin -0.0822 Nm, penetration 0.000006 m
evaluation 330: speed 0.090662, force 0.0708 N, moment 0.0229 Nm, torque margin -0.0822 Nm, penetration 0.000006 m
evaluation 340: speed 0.090662, force 0.0708 N, moment 0.0229 Nm, torque margin -0.0822 Nm, penetration 0.000006 m
evaluation 350: speed 0.090662, force 0.0708 N, moment 0.0229 Nm, torque margin -0.0822 Nm, penetration 0.000006 m
evaluation 360: speed 0.090662, force 0.0708 N, moment 0.0228 Nm, torque margin -0.0822 Nm, penetration 0.000006 m
evaluation 370: speed 0.090662, force 0.0708 N, moment 0.0228 Nm, torque margin -0.0822 Nm, penetration 0.000006 m
evaluation 380: speed 0.090662, force 0.0708 N, moment 0.0229 Nm, torque margin -0.0822 Nm, penetration 0.000006 m
evaluation 390: speed 0.090662, force 0.0708 N, moment 0.0229 Nm, torque margin -0.0822 Nm, penetration 0.000006 m
evaluation 400: speed 0.090662, force 0.0708 N, moment 0.0228 Nm, torque margin -0.0822 Nm, penetration 0.000006 m
evaluation 410: speed 0.090662, force 0.0708 N, moment 0.0229 Nm, torque margin -0.0822 Nm, penetration 0.000006 m
evaluation 420: speed 0.089044, force 0.0808 N, moment 0.0261 Nm, torque margin -0.0807 Nm, penetration 0.000003 m
evaluation 430: speed 0.089044, force 0.0808 N, moment 0.0261 Nm, torque margin -0.0807 Nm, penetration 0.000003 m
evaluation 440: speed 0.089044, force 0.0808 N, moment 0.0261 Nm, torque margin -0.0807 Nm, penetration 0.000003 m
evaluation 450: speed 0.089044, force 0.0807 N, moment 0.0261 Nm, torque margin -0.0807 Nm, penetration 0.000003 m
evaluation 460: speed 0.089044, force 0.0808 N, moment 0.0261 Nm, torque margin -0.0807 Nm, penetration 0.000003 m
evaluation 470: speed 0.089044, force 0.0808 N, moment 0.0261 Nm, torque margin -0.0807 Nm, penetration 0.000003 m
evaluation 480: speed 0.089044, force 0.0808 N, moment 0.0261 Nm, torque margin -0.0807 Nm, penetration 0.000003 m
