evaluation 1: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.490477, feasible false
evaluation 10: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.490793, feasible false
evaluation 20: speed 0.211710, force 12.5252 N, moment 3.0668 Nm, torque -0.2692 Nm, cone 0.0000 N, maximum constraint 249.503506, feasible false
evaluation 30: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.490477, feasible false
evaluation 40: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.490543, feasible false
evaluation 50: speed 0.211710, force 12.5128 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.255646, feasible false
evaluation 60: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.490477, feasible false
evaluation 70: speed 0.211710, force 12.5246 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.491068, feasible false
evaluation 80: speed 0.211710, force 12.5246 N, moment 3.0665 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.492983, feasible false
evaluation 90: speed 0.211710, force 12.5274 N, moment 3.0667 Nm, torque -0.2696 Nm, cone 0.0000 N, maximum constraint 249.548214, feasible false
evaluation 100: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.490477, feasible false
evaluation 110: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2696 Nm, cone 0.0000 N, maximum constraint 249.490477, feasible false
evaluation 120: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.490477, feasible false
evaluation 130: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.490477, feasible false
evaluation 140: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.490477, feasible false
evaluation 150: speed 0.211710, force 12.5259 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.518104, feasible false
evaluation 160: speed 0.170337, force 7.9902 N, moment 1.1814 Nm, torque 0.0026 Nm, cone 0.7369 N, maximum constraint 158.803661, feasible false
evaluation 170: speed 0.170337, force 7.9902 N, moment 1.1814 Nm, torque 0.0025 Nm, cone 0.7369 N, maximum constraint 158.803842, feasible false
evaluation 180: speed 0.170337, force 7.9907 N, moment 1.1771 Nm, torque 0.0025 Nm, cone 0.7369 N, maximum constraint 158.813280, feasible false
evaluation 190: speed 0.170337, force 7.9902 N, moment 1.1814 Nm, torque 0.0026 Nm, cone 0.7369 N, maximum constraint 158.803481, feasible false
evaluation 200: speed 0.170337, force 7.9902 N, moment 1.1814 Nm, torque 0.0026 Nm, cone 0.7369 N, maximum constraint 158.803661, feasible false
evaluation 210: speed 0.170337, force 7.9902 N, moment 1.1814 Nm, torque 0.0026 Nm, cone 0.7369 N, maximum constraint 158.803591, feasible false
evaluation 220: speed 0.170337, force 7.9902 N, moment 1.1814 Nm, torque 0.0026 Nm, cone 0.7369 N, maximum constraint 158.803661, feasible false
evaluation 230: speed 0.170337, force 7.9902 N, moment 1.1814 Nm, torque 0.0026 Nm, cone 0.7369 N, maximum constraint 158.803661, feasible false
evaluation 240: speed 0.170337, force 7.9901 N, moment 1.1816 Nm, torque 0.0026 Nm, cone 0.7369 N, maximum constraint 158.801636, feasible false
evaluation 250: speed 0.170337, force 7.9903 N, moment 1.1814 Nm, torque 0.0026 Nm, cone 0.7369 N, maximum constraint 158.805352, feasible false
evaluation 260: speed 0.170337, force 7.9918 N, moment 1.1814 Nm, torque 0.0026 Nm, cone 0.7369 N, maximum constraint 158.836191, feasible false
evaluation 270: speed 0.170337, force 7.9902 N, moment 1.1814 Nm, torque 0.0026 Nm, cone 0.7369 N, maximum constraint 158.803661, feasible false
evaluation 280: speed 0.170337, force 7.9902 N, moment 1.1814 Nm, torque 0.0026 Nm, cone 0.7369 N, maximum constraint 158.803661, feasible false
evaluation 290: speed 0.170337, force 7.9902 N, moment 1.1814 Nm, torque 0.0026 Nm, cone 0.7369 N, maximum constraint 158.803661, feasible false
evaluation 300: speed 0.170337, force 7.9902 N, moment 1.1814 Nm, torque 0.0026 Nm, cone 0.7369 N, maximum constraint 158.803661, feasible false
evaluation 310: speed 0.170337, force 7.9902 N, moment 1.1814 Nm, torque 0.0025 Nm, cone 0.7369 N, maximum constraint 158.803661, feasible false
evaluation 320: speed 0.102451, force 6.3354 N, moment 0.8474 Nm, torque -0.2309 Nm, cone 15.7643 N, maximum constraint 315.286261, feasible false
evaluation 330: speed 0.102451, force 6.3345 N, moment 0.8473 Nm, torque -0.2309 Nm, cone 15.7643 N, maximum constraint 315.286261, feasible false
