valid report 1: speed 0.025000, force 0.079160 N, moment 0.024069 Nm, torque 0.685216 Nm, maximum inequality 0.583207, feasible false
valid report 10: speed 0.025000, force 0.093881 N, moment 0.090991 Nm, torque 0.682702 Nm, maximum inequality 3.549560, feasible false
valid report 20: speed 0.025000, force 0.869926 N, moment 0.155754 Nm, torque 0.639544 Nm, maximum inequality 16.398519, feasible false
valid report 30: speed 0.025000, force 0.079160 N, moment 0.024069 Nm, torque 0.685216 Nm, maximum inequality 0.583208, feasible false
valid report 40: speed 0.025000, force 0.444715 N, moment 0.105711 Nm, torque 0.685216 Nm, maximum inequality 7.894306, feasible false
valid report 50: speed 0.025000, force 0.210778 N, moment 0.429268 Nm, torque 0.685216 Nm, maximum inequality 20.463409, feasible false
valid report 60: speed 0.025000, force 0.393363 N, moment 0.050878 Nm, torque 0.685296 Nm, maximum inequality 6.867265, feasible false
valid report 70: speed 0.025000, force 0.121719 N, moment 0.024979 Nm, torque 0.685216 Nm, maximum inequality 1.434374, feasible false
valid report 80: speed 0.025000, force 0.126356 N, moment 0.416103 Nm, torque 0.685216 Nm, maximum inequality 19.805138, feasible false
valid report 90: speed 0.025000, force 62.961902 N, moment 2.212191 Nm, torque -0.361387 Nm, maximum inequality 1258.238033, feasible false
valid report 100: speed 0.025000, force 133.457464 N, moment 4.781682 Nm, torque -0.897168 Nm, maximum inequality 2668.149288, feasible false
valid report 110: speed 0.025000, force 17.541783 N, moment 0.035959 Nm, torque -0.269572 Nm, maximum inequality 349.835657, feasible false
