valid report 1: speed 0.025000, force 0.079160 N, moment 0.024069 Nm, torque 0.685216 Nm, maximum inequality 0.583207, feasible false
valid report 10: speed 0.025000, force 0.079183 N, moment 0.024063 Nm, torque 0.684683 Nm, maximum inequality 0.583653, feasible false
valid report 20: speed 0.025000, force 0.079155 N, moment 0.024070 Nm, torque 0.685217 Nm, maximum inequality 0.583094, feasible false
valid report 30: speed 0.025000, force 0.078458 N, moment 0.024069 Nm, torque 0.685210 Nm, maximum inequality 0.569160, feasible false
valid report 40: speed 0.025000, force 0.079165 N, moment 0.024069 Nm, torque 0.685220 Nm, maximum inequality 0.583297, feasible false
valid report 50: speed 0.025000, force 0.079671 N, moment 0.024077 Nm, torque 0.685216 Nm, maximum inequality 0.593427, feasible false
valid report 60: speed 0.025000, force 0.079124 N, moment 0.024255 Nm, torque 0.685216 Nm, maximum inequality 0.582484, feasible false
valid report 70: speed 0.025000, force 0.079164 N, moment 0.024046 Nm, torque 0.685216 Nm, maximum inequality 0.583273, feasible false
valid report 80: speed 0.025000, force 0.079160 N, moment 0.024069 Nm, torque 0.685216 Nm, maximum inequality 0.583208, feasible false
valid report 90: speed 0.025000, force 0.079147 N, moment 0.024074 Nm, torque 0.685220 Nm, maximum inequality 0.582937, feasible false
valid report 100: speed 0.025000, force 0.079160 N, moment 0.024063 Nm, torque 0.685502 Nm, maximum inequality 0.583206, feasible false
valid report 110: speed 0.025000, force 0.079160 N, moment 0.024069 Nm, torque 0.685216 Nm, maximum inequality 0.583208, feasible false
valid report 120: speed 0.025273, force 0.079074 N, moment 0.024049 Nm, torque 0.686330 Nm, maximum inequality 0.581481, feasible false
valid report 130: speed 0.025273, force 0.079104 N, moment 0.024050 Nm, torque 0.686473 Nm, maximum inequality 0.582081, feasible false
valid report 140: speed 0.025273, force 0.079064 N, moment 0.024055 Nm, torque 0.686403 Nm, maximum inequality 0.581270, feasible false
valid report 150: speed 0.025273, force 0.080257 N, moment 0.024085 Nm, torque 0.686432 Nm, maximum inequality 0.605144, feasible false
valid report 160: speed 0.025273, force 0.079069 N, moment 0.024055 Nm, torque 0.686432 Nm, maximum inequality 0.581387, feasible false
valid report 170: speed 0.025273, force 0.079067 N, moment 0.024045 Nm, torque 0.686432 Nm, maximum inequality 0.581349, feasible false
valid report 180: speed 0.025273, force 0.079083 N, moment 0.024049 Nm, torque 0.686432 Nm, maximum inequality 0.581666, feasible false
valid report 190: speed 0.025273, force 0.079083 N, moment 0.024055 Nm, torque 0.686432 Nm, maximum inequality 0.581650, feasible false
valid report 200: speed 0.025273, force 0.079097 N, moment 0.024082 Nm, torque 0.686432 Nm, maximum inequality 0.581944, feasible false
valid report 210: speed 0.025273, force 0.079084 N, moment 0.023783 Nm, torque 0.686432 Nm, maximum inequality 0.581687, feasible false
valid report 220: speed 0.025273, force 0.079083 N, moment 0.024055 Nm, torque 0.686432 Nm, maximum inequality 0.581650, feasible false
