valid report 1: speed 0.025000, force 0.212473 N, moment 0.030114 Nm, torque 0.685216 Nm, maximum inequality 3.249468, feasible false
valid report 10: speed 0.025000, force 0.212587 N, moment 0.030127 Nm, torque 0.685217 Nm, maximum inequality 3.251749, feasible false
valid report 20: speed 0.025000, force 0.212473 N, moment 0.030114 Nm, torque 0.685271 Nm, maximum inequality 3.249469, feasible false
valid report 30: speed 0.025000, force 0.212595 N, moment 0.030122 Nm, torque 0.685217 Nm, maximum inequality 3.251905, feasible false
valid report 40: speed 0.025000, force 0.212416 N, moment 0.030113 Nm, torque 0.685217 Nm, maximum inequality 3.248315, feasible false
valid report 50: speed 0.025000, force 0.213003 N, moment 0.030606 Nm, torque 0.685219 Nm, maximum inequality 3.260054, feasible false
valid report 60: speed 0.025000, force 0.212435 N, moment 0.029141 Nm, torque 0.685216 Nm, maximum inequality 3.248708, feasible false
valid report 70: speed 0.025000, force 0.209801 N, moment 0.030335 Nm, torque 0.685216 Nm, maximum inequality 3.196015, feasible false
valid report 80: speed 0.025000, force 0.212829 N, moment 0.030113 Nm, torque 0.685216 Nm, maximum inequality 3.256588, feasible false
valid report 90: speed 0.025000, force 0.212477 N, moment 0.030115 Nm, torque 0.685220 Nm, maximum inequality 3.249538, feasible false
valid report 100: speed 0.025000, force 0.212799 N, moment 0.030149 Nm, torque 0.685502 Nm, maximum inequality 3.255984, feasible false
valid report 110: speed 0.025000, force 0.212471 N, moment 0.030104 Nm, torque 0.685216 Nm, maximum inequality 3.249416, feasible false
valid report 120: speed 0.026038, force 0.208897 N, moment 0.029971 Nm, torque 0.682050 Nm, maximum inequality 3.177943, feasible false
valid report 130: speed 0.026038, force 0.210589 N, moment 0.029949 Nm, torque 0.680985 Nm, maximum inequality 3.211772, feasible false
valid report 140: speed 0.026038, force 0.214328 N, moment 0.029950 Nm, torque 0.682054 Nm, maximum inequality 3.286559, feasible false
valid report 150: speed 0.026038, force 0.210368 N, moment 0.030033 Nm, torque 0.682036 Nm, maximum inequality 3.207369, feasible false
valid report 160: speed 0.026038, force 0.210691 N, moment 0.029952 Nm, torque 0.682057 Nm, maximum inequality 3.213816, feasible false
valid report 170: speed 0.026038, force 0.210598 N, moment 0.029943 Nm, torque 0.682049 Nm, maximum inequality 3.211961, feasible false
valid report 180: speed 0.026038, force 0.209365 N, moment 0.030075 Nm, torque 0.682049 Nm, maximum inequality 3.187294, feasible false
valid report 190: speed 0.026038, force 0.210586 N, moment 0.029980 Nm, torque 0.682049 Nm, maximum inequality 3.211729, feasible false
valid report 200: speed 0.026038, force 0.210589 N, moment 0.029949 Nm, torque 0.682049 Nm, maximum inequality 3.211772, feasible false
valid report 210: speed 0.026038, force 0.210613 N, moment 0.029971 Nm, torque 0.682049 Nm, maximum inequality 3.212268, feasible false
valid report 220: speed 0.026038, force 0.210589 N, moment 0.029949 Nm, torque 0.682049 Nm, maximum inequality 3.211772, feasible false
