valid report 1: speed 0.025000, force 0.212473 N, moment 0.030114 Nm, torque 0.685216 Nm, maximum inequality 3.249468, feasible false
valid report 10: speed 0.025000, force 0.212473 N, moment 0.030108 Nm, torque 0.685216 Nm, maximum inequality 3.249467, feasible false
valid report 20: speed 0.025000, force 0.212473 N, moment 0.030114 Nm, torque 0.685216 Nm, maximum inequality 3.249469, feasible false
valid report 30: speed 0.025000, force 0.212472 N, moment 0.030159 Nm, torque 0.685216 Nm, maximum inequality 3.249443, feasible false
valid report 40: speed 0.025000, force 0.212527 N, moment 0.029100 Nm, torque 0.685233 Nm, maximum inequality 3.250534, feasible false
valid report 50: speed 0.025000, force 0.212632 N, moment 0.030211 Nm, torque 0.685787 Nm, maximum inequality 3.252633, feasible false
valid report 60: speed 0.025000, force 0.212682 N, moment 0.030116 Nm, torque 0.685216 Nm, maximum inequality 3.253644, feasible false
valid report 70: speed 0.025000, force 0.212473 N, moment 0.030114 Nm, torque 0.685216 Nm, maximum inequality 3.249469, feasible false
valid report 80: speed 0.025000, force 0.212473 N, moment 0.030114 Nm, torque 0.684160 Nm, maximum inequality 3.249469, feasible false
valid report 90: speed 0.025000, force 0.216180 N, moment 0.030115 Nm, torque 0.685221 Nm, maximum inequality 3.323597, feasible false
valid report 100: speed 0.025000, force 0.212263 N, moment 0.030198 Nm, torque 0.685203 Nm, maximum inequality 3.245262, feasible false
valid report 110: speed 0.025000, force 0.212572 N, moment 0.030117 Nm, torque 0.685223 Nm, maximum inequality 3.251442, feasible false
valid report 120: speed 0.025000, force 0.212233 N, moment 0.029889 Nm, torque 0.685216 Nm, maximum inequality 3.244651, feasible false
valid report 130: speed 0.025000, force 0.212473 N, moment 0.030114 Nm, torque 0.685216 Nm, maximum inequality 3.249469, feasible false
valid report 140: speed 0.025000, force 0.212473 N, moment 0.030114 Nm, torque 0.685216 Nm, maximum inequality 3.249469, feasible false
valid report 150: speed 0.025000, force 0.212473 N, moment 0.030114 Nm, torque 0.685216 Nm, maximum inequality 3.249469, feasible false
valid report 160: speed 0.025000, force 0.212473 N, moment 0.030114 Nm, torque 0.685216 Nm, maximum inequality 3.249469, feasible false
valid report 170: speed 0.025000, force 0.212473 N, moment 0.030114 Nm, torque 0.685216 Nm, maximum inequality 3.249469, feasible false
