evaluation 1: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 10: speed 0.211710, force 13.0909 N, moment 3.1858 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818796, feasible false
evaluation 20: speed 0.211710, force 13.0847 N, moment 3.1762 Nm, torque -0.2692 Nm, cone 0.0000 N, maximum constraint 260.694257, feasible false
evaluation 30: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 40: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818181, feasible false
evaluation 50: speed 0.211710, force 13.0902 N, moment 3.1916 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.803779, feasible false
evaluation 60: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 70: speed 0.211710, force 13.0909 N, moment 3.1865 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 80: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 90: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2696 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 100: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 110: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2696 Nm, cone 0.0000 N, maximum constraint 260.818132, feasible false
evaluation 120: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818379, feasible false
evaluation 130: speed 0.211710, force 13.0910 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.819984, feasible false
evaluation 140: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.817989, feasible false
evaluation 150: speed 0.211710, force 13.0895 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.790342, feasible false
evaluation 160: speed 0.161123, force 11.0015 N, moment 1.2768 Nm, torque -0.7800 Nm, cone 3.6913 N, maximum constraint 219.030031, feasible false
evaluation 170: speed 0.161110, force 11.0029 N, moment 1.2767 Nm, torque -0.7799 Nm, cone 3.6913 N, maximum constraint 219.058554, feasible false
evaluation 180: speed 0.161110, force 11.0030 N, moment 1.2767 Nm, torque -0.7799 Nm, cone 3.6913 N, maximum constraint 219.059499, feasible false
evaluation 190: speed 0.161110, force 10.9990 N, moment 1.2765 Nm, torque -0.7799 Nm, cone 3.6913 N, maximum constraint 218.980092, feasible false
evaluation 200: speed 0.161110, force 11.0029 N, moment 1.2767 Nm, torque -0.7799 Nm, cone 3.6913 N, maximum constraint 219.058554, feasible false
evaluation 210: speed 0.161110, force 11.0029 N, moment 1.2766 Nm, torque -0.7799 Nm, cone 3.6913 N, maximum constraint 219.058081, feasible false
evaluation 220: speed 0.161110, force 11.0029 N, moment 1.2767 Nm, torque -0.7799 Nm, cone 3.6913 N, maximum constraint 219.058554, feasible false
evaluation 230: speed 0.161110, force 11.0029 N, moment 1.2766 Nm, torque -0.7799 Nm, cone 3.6913 N, maximum constraint 219.058554, feasible false
evaluation 240: speed 0.161110, force 11.0029 N, moment 1.2767 Nm, torque -0.7799 Nm, cone 3.6913 N, maximum constraint 219.058554, feasible false
evaluation 250: speed 0.161110, force 11.0029 N, moment 1.2766 Nm, torque -0.7799 Nm, cone 3.6913 N, maximum constraint 219.058505, feasible false
evaluation 260: speed 0.161110, force 11.0030 N, moment 1.2766 Nm, torque -0.7799 Nm, cone 3.6913 N, maximum constraint 219.059107, feasible false
evaluation 270: speed 0.161110, force 11.0030 N, moment 1.2767 Nm, torque -0.7799 Nm, cone 3.6913 N, maximum constraint 219.060464, feasible false
evaluation 280: speed 0.161110, force 11.0015 N, moment 1.2767 Nm, torque -0.7800 Nm, cone 3.6913 N, maximum constraint 219.029150, feasible false
evaluation 290: speed 0.161110, force 11.0029 N, moment 1.2767 Nm, torque -0.7799 Nm, cone 3.6913 N, maximum constraint 219.058554, feasible false
evaluation 300: speed 0.161110, force 11.0029 N, moment 1.2767 Nm, torque -0.7799 Nm, cone 3.6913 N, maximum constraint 219.058554, feasible false
evaluation 310: speed 0.029945, force 9.0751 N, moment 0.3993 Nm, torque -0.5401 Nm, cone 0.3847 N, maximum constraint 180.501554, feasible false
evaluation 320: speed 0.029945, force 9.0751 N, moment 0.3993 Nm, torque -0.5401 Nm, cone 0.3847 N, maximum constraint 180.501568, feasible false
evaluation 330: speed 0.029945, force 9.0747 N, moment 0.3993 Nm, torque -0.5403 Nm, cone 0.3847 N, maximum constraint 180.493641, feasible false
evaluation 340: speed 0.029945, force 9.0749 N, moment 0.3993 Nm, torque -0.5401 Nm, cone 0.3847 N, maximum constraint 180.498763, feasible false
evaluation 350: speed 0.029945, force 9.0751 N, moment 0.3993 Nm, torque -0.5401 Nm, cone 0.3847 N, maximum constraint 180.501554, feasible false
evaluation 360: speed 0.029945, force 9.0751 N, moment 0.3993 Nm, torque -0.5401 Nm, cone 0.3847 N, maximum constraint 180.501661, feasible false
evaluation 370: speed 0.029945, force 9.0751 N, moment 0.3993 Nm, torque -0.5401 Nm, cone 0.3847 N, maximum constraint 180.501554, feasible false
evaluation 380: speed 0.029945, force 9.0751 N, moment 0.3993 Nm, torque -0.5401 Nm, cone 0.3847 N, maximum constraint 180.501554, feasible false
evaluation 390: speed 0.029945, force 9.0751 N, moment 0.3993 Nm, torque -0.5401 Nm, cone 0.3847 N, maximum constraint 180.501554, feasible false
evaluation 400: speed 0.029945, force 9.0751 N, moment 0.3993 Nm, torque -0.5401 Nm, cone 0.3847 N, maximum constraint 180.501532, feasible false
evaluation 410: speed 0.029945, force 9.0751 N, moment 0.3993 Nm, torque -0.5401 Nm, cone 0.3847 N, maximum constraint 180.501630, feasible false
evaluation 420: speed 0.029945, force 9.0749 N, moment 0.3993 Nm, torque -0.5401 Nm, cone 0.3847 N, maximum constraint 180.498252, feasible false
evaluation 430: speed 0.029945, force 9.0736 N, moment 0.3993 Nm, torque -0.5401 Nm, cone 0.3847 N, maximum constraint 180.472919, feasible false
evaluation 440: speed 0.029945, force 9.0751 N, moment 0.3993 Nm, torque -0.5401 Nm, cone 0.3847 N, maximum constraint 180.501554, feasible false
evaluation 450: speed 0.029945, force 9.0751 N, moment 0.3993 Nm, torque -0.5401 Nm, cone 0.3847 N, maximum constraint 180.501554, feasible false
evaluation 460: speed 0.032612, force 8.6191 N, moment 0.3190 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.381805, feasible false
evaluation 470: speed 0.032612, force 8.6191 N, moment 0.3191 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.381802, feasible false
evaluation 480: speed 0.032612, force 8.6188 N, moment 0.3190 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.375012, feasible false
evaluation 490: speed 0.032612, force 8.6189 N, moment 0.3190 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.378501, feasible false
evaluation 500: speed 0.032612, force 8.6191 N, moment 0.3190 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.381805, feasible false
evaluation 510: speed 0.032612, force 8.6191 N, moment 0.3195 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.382176, feasible false
evaluation 520: speed 0.032612, force 8.6191 N, moment 0.3190 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.381805, feasible false
evaluation 530: speed 0.032612, force 8.6191 N, moment 0.3190 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.381805, feasible false
evaluation 540: speed 0.032612, force 8.6191 N, moment 0.3190 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.381798, feasible false
evaluation 550: speed 0.032612, force 8.6191 N, moment 0.3190 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.381792, feasible false
evaluation 560: speed 0.032612, force 8.6191 N, moment 0.3190 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.381304, feasible false
evaluation 570: speed 0.032612, force 8.6190 N, moment 0.3190 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.379241, feasible false
evaluation 580: speed 0.032612, force 8.6190 N, moment 0.3190 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.379668, feasible false
evaluation 590: speed 0.032612, force 8.6191 N, moment 0.3190 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.381805, feasible false
evaluation 600: speed 0.032612, force 8.6191 N, moment 0.3190 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.381805, feasible false
evaluation 610: speed 0.032070, force 6.2393 N, moment 0.4747 Nm, torque -0.3247 Nm, cone 0.3160 N, maximum constraint 123.785140, feasible false
evaluation 620: speed 0.032070, force 6.2393 N, moment 0.4747 Nm, torque -0.3247 Nm, cone 0.3160 N, maximum constraint 123.785135, feasible false
evaluation 630: speed 0.032070, force 6.2390 N, moment 0.4747 Nm, torque -0.3247 Nm, cone 0.3160 N, maximum constraint 123.779439, feasible false
evaluation 640: speed 0.032070, force 6.2391 N, moment 0.4747 Nm, torque -0.3247 Nm, cone 0.3160 N, maximum constraint 123.782065, feasible false
evaluation 650: speed 0.032070, force 6.2393 N, moment 0.4747 Nm, torque -0.3247 Nm, cone 0.3160 N, maximum constraint 123.785140, feasible false
evaluation 660: speed 0.032070, force 6.2393 N, moment 0.4751 Nm, torque -0.3247 Nm, cone 0.3160 N, maximum constraint 123.785503, feasible false
evaluation 670: speed 0.032070, force 6.2393 N, moment 0.4747 Nm, torque -0.3247 Nm, cone 0.3160 N, maximum constraint 123.785140, feasible false
evaluation 680: speed 0.032070, force 6.2393 N, moment 0.4747 Nm, torque -0.3247 Nm, cone 0.3160 N, maximum constraint 123.785140, feasible false
evaluation 690: speed 0.032070, force 6.2393 N, moment 0.4747 Nm, torque -0.3247 Nm, cone 0.3160 N, maximum constraint 123.785133, feasible false
