valid report 1: speed 0.025152, force 0.035805 N, moment 0.013715 Nm, torque 1.091287 Nm, maximum inequality -0.000000, feasible true
valid report 10: speed 0.025152, force 0.035845 N, moment 0.013844 Nm, torque 1.091296 Nm, maximum inequality -0.000000, feasible true
valid report 20: speed 0.025152, force 0.042157 N, moment 0.013704 Nm, torque 1.091888 Nm, maximum inequality -0.000000, feasible true
valid report 30: speed 0.025152, force 0.035809 N, moment 0.013715 Nm, torque 1.091287 Nm, maximum inequality -0.000000, feasible true
valid report 40: speed 0.025152, force 0.036060 N, moment 0.013712 Nm, torque 1.091258 Nm, maximum inequality -0.000000, feasible true
valid report 50: speed 0.025152, force 0.035807 N, moment 0.013717 Nm, torque 1.091303 Nm, maximum inequality -0.000000, feasible true
valid report 60: speed 0.025152, force 0.035806 N, moment 0.014086 Nm, torque 1.091287 Nm, maximum inequality -0.000000, feasible true
valid report 70: speed 0.025152, force 0.035959 N, moment 0.013723 Nm, torque 1.091287 Nm, maximum inequality -0.000000, feasible true
valid report 80: speed 0.025152, force 0.035854 N, moment 0.013709 Nm, torque 1.091287 Nm, maximum inequality -0.000000, feasible true
valid report 90: speed 0.025152, force 0.035805 N, moment 0.013715 Nm, torque 1.091287 Nm, maximum inequality -0.000000, feasible true
valid report 100: speed 0.025152, force 0.035808 N, moment 0.013740 Nm, torque 1.091382 Nm, maximum inequality -0.000000, feasible true
valid report 110: speed 0.025203, force 0.035849 N, moment 0.013722 Nm, torque 1.091171 Nm, maximum inequality -0.000000, feasible true
valid report 120: speed 0.025153, force 0.035806 N, moment 0.013716 Nm, torque 1.091285 Nm, maximum inequality -0.000000, feasible true
valid report 130: speed 0.025152, force 0.035805 N, moment 0.013715 Nm, torque 1.091287 Nm, maximum inequality -0.000000, feasible true
valid report 140: speed 0.025188, force 0.035835 N, moment 0.013788 Nm, torque 1.091210 Nm, maximum inequality -0.000000, feasible true
valid report 150: speed 0.025188, force 0.035838 N, moment 0.013724 Nm, torque 1.091179 Nm, maximum inequality -0.000000, feasible true
valid report 160: speed 0.025188, force 0.035837 N, moment 0.013719 Nm, torque 1.091218 Nm, maximum inequality -0.000000, feasible true
valid report 170: speed 0.025188, force 0.035950 N, moment 0.013720 Nm, torque 1.091204 Nm, maximum inequality -0.000000, feasible true
valid report 180: speed 0.025188, force 0.035875 N, moment 0.013766 Nm, torque 1.091174 Nm, maximum inequality -0.000000, feasible true
valid report 190: speed 0.025188, force 0.035836 N, moment 0.013714 Nm, torque 1.091204 Nm, maximum inequality -0.000000, feasible true
valid report 200: speed 0.025188, force 0.035836 N, moment 0.013720 Nm, torque 1.091204 Nm, maximum inequality -0.000000, feasible true
valid report 210: speed 0.025188, force 0.035855 N, moment 0.013717 Nm, torque 1.091204 Nm, maximum inequality -0.000000, feasible true
valid report 220: speed 0.025188, force 0.035839 N, moment 0.014473 Nm, torque 1.091204 Nm, maximum inequality -0.000000, feasible true
valid report 230: speed 0.025188, force 0.037179 N, moment 0.013759 Nm, torque 1.091194 Nm, maximum inequality -0.000000, feasible true
valid report 240: speed 0.025188, force 0.035840 N, moment 0.013730 Nm, torque 1.091204 Nm, maximum inequality -0.000000, feasible true
