valid report 1: speed 0.025188, force 0.053401 N, moment 0.021360 Nm, torque 1.091791 Nm, maximum inequality 0.068014, feasible false
valid report 10: speed 0.025188, force 0.053625 N, moment 0.021395 Nm, torque 1.091800 Nm, maximum inequality 0.072509, feasible false
valid report 20: speed 0.025188, force 0.059346 N, moment 0.021366 Nm, torque 1.092392 Nm, maximum inequality 0.186920, feasible false
valid report 30: speed 0.025188, force 0.053890 N, moment 0.021393 Nm, torque 1.091791 Nm, maximum inequality 0.077798, feasible false
valid report 40: speed 0.025188, force 0.053672 N, moment 0.021373 Nm, torque 1.091762 Nm, maximum inequality 0.073438, feasible false
valid report 50: speed 0.025188, force 0.053407 N, moment 0.021363 Nm, torque 1.091807 Nm, maximum inequality 0.068172, feasible false
valid report 60: speed 0.025188, force 0.053402 N, moment 0.021730 Nm, torque 1.091791 Nm, maximum inequality 0.086479, feasible false
valid report 70: speed 0.025188, force 0.053807 N, moment 0.021456 Nm, torque 1.091791 Nm, maximum inequality 0.076132, feasible false
valid report 80: speed 0.025188, force 0.053460 N, moment 0.021368 Nm, torque 1.091791 Nm, maximum inequality 0.069205, feasible false
valid report 90: speed 0.025188, force 0.053401 N, moment 0.021360 Nm, torque 1.091791 Nm, maximum inequality 0.068014, feasible false
valid report 100: speed 0.025188, force 0.053424 N, moment 0.021389 Nm, torque 1.091886 Nm, maximum inequality 0.069473, feasible false
valid report 110: speed 0.025159, force 0.053127 N, moment 0.021250 Nm, torque 1.091953 Nm, maximum inequality 0.062534, feasible false
valid report 120: speed 0.025159, force 0.053407 N, moment 0.021273 Nm, torque 1.091917 Nm, maximum inequality 0.068146, feasible false
valid report 130: speed 0.025159, force 0.053238 N, moment 0.021289 Nm, torque 1.091927 Nm, maximum inequality 0.064755, feasible false
valid report 140: speed 0.025159, force 0.054038 N, moment 0.021265 Nm, torque 1.091953 Nm, maximum inequality 0.080763, feasible false
valid report 150: speed 0.025159, force 0.054090 N, moment 0.021299 Nm, torque 1.091931 Nm, maximum inequality 0.081808, feasible false
valid report 160: speed 0.025161, force 0.053216 N, moment 0.021269 Nm, torque 1.091935 Nm, maximum inequality 0.064319, feasible false
valid report 170: speed 0.025159, force 0.053127 N, moment 0.021250 Nm, torque 1.091953 Nm, maximum inequality 0.062534, feasible false
valid report 180: speed 0.025159, force 0.053128 N, moment 0.021300 Nm, torque 1.091953 Nm, maximum inequality 0.065024, feasible false
valid report 190: speed 0.025159, force 0.053126 N, moment 0.021276 Nm, torque 1.091953 Nm, maximum inequality 0.063825, feasible false
valid report 200: speed 0.025159, force 0.053127 N, moment 0.021250 Nm, torque 1.091953 Nm, maximum inequality 0.062534, feasible false
valid report 210: speed 0.025159, force 0.053152 N, moment 0.021296 Nm, torque 1.092020 Nm, maximum inequality 0.064775, feasible false
