evaluation 1: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.490477, feasible false
evaluation 10: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.490793, feasible false
evaluation 20: speed 0.211710, force 12.5252 N, moment 3.0668 Nm, torque -0.2692 Nm, cone 0.0000 N, maximum constraint 249.503506, feasible false
evaluation 30: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.490477, feasible false
evaluation 40: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.490543, feasible false
evaluation 50: speed 0.211710, force 12.5128 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.255646, feasible false
evaluation 60: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.490477, feasible false
evaluation 70: speed 0.211710, force 12.5246 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.491068, feasible false
evaluation 80: speed 0.211710, force 12.5246 N, moment 3.0665 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.492983, feasible false
evaluation 90: speed 0.211710, force 12.5421 N, moment 3.0667 Nm, torque -0.2701 Nm, cone 0.0000 N, maximum constraint 249.841501, feasible false
evaluation 100: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.490477, feasible false
evaluation 110: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2696 Nm, cone 0.0000 N, maximum constraint 249.490477, feasible false
evaluation 120: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.490477, feasible false
evaluation 130: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.490477, feasible false
evaluation 140: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.490477, feasible false
evaluation 150: speed 0.211710, force 12.5329 N, moment 3.0668 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.658445, feasible false
evaluation 160: speed 0.163008, force 5.7648 N, moment 0.9872 Nm, torque 0.0619 Nm, cone 0.8550 N, maximum constraint 114.296117, feasible false
evaluation 170: speed 0.162994, force 5.7647 N, moment 0.9872 Nm, torque 0.0620 Nm, cone 0.8550 N, maximum constraint 114.293847, feasible false
evaluation 180: speed 0.162994, force 5.7647 N, moment 0.9870 Nm, torque 0.0621 Nm, cone 0.8550 N, maximum constraint 114.293782, feasible false
evaluation 190: speed 0.162994, force 5.7444 N, moment 0.9862 Nm, torque 0.0621 Nm, cone 0.8550 N, maximum constraint 113.888127, feasible false
evaluation 200: speed 0.162994, force 5.7647 N, moment 0.9872 Nm, torque 0.0621 Nm, cone 0.8550 N, maximum constraint 114.293847, feasible false
evaluation 210: speed 0.162994, force 5.7647 N, moment 0.9872 Nm, torque 0.0621 Nm, cone 0.8550 N, maximum constraint 114.293990, feasible false
evaluation 220: speed 0.162994, force 5.7647 N, moment 0.9872 Nm, torque 0.0621 Nm, cone 0.8550 N, maximum constraint 114.293787, feasible false
evaluation 230: speed 0.162994, force 5.7647 N, moment 0.9872 Nm, torque 0.0621 Nm, cone 0.8550 N, maximum constraint 114.293676, feasible false
evaluation 240: speed 0.162994, force 5.7647 N, moment 0.9872 Nm, torque 0.0621 Nm, cone 0.8550 N, maximum constraint 114.293866, feasible false
evaluation 250: speed 0.162994, force 5.7648 N, moment 0.9872 Nm, torque 0.0621 Nm, cone 0.8550 N, maximum constraint 114.295825, feasible false
evaluation 260: speed 0.162994, force 5.7647 N, moment 0.9872 Nm, torque 0.0621 Nm, cone 0.8550 N, maximum constraint 114.293847, feasible false
evaluation 270: speed 0.162994, force 5.7647 N, moment 0.9872 Nm, torque 0.0621 Nm, cone 0.8550 N, maximum constraint 114.293847, feasible false
evaluation 280: speed 0.162994, force 5.7647 N, moment 0.9872 Nm, torque 0.0621 Nm, cone 0.8550 N, maximum constraint 114.293847, feasible false
evaluation 290: speed 0.162994, force 5.7647 N, moment 0.9872 Nm, torque 0.0621 Nm, cone 0.8550 N, maximum constraint 114.293847, feasible false
evaluation 300: speed 0.162994, force 5.7647 N, moment 0.9872 Nm, torque 0.0621 Nm, cone 0.8550 N, maximum constraint 114.293847, feasible false
evaluation 310: speed 0.162994, force 5.7647 N, moment 0.9872 Nm, torque 0.0622 Nm, cone 0.8550 N, maximum constraint 114.293734, feasible false
evaluation 320: speed 0.110110, force 4.5950 N, moment 0.7312 Nm, torque 0.4041 Nm, cone 3.7401 N, maximum constraint 90.900009, feasible false
evaluation 330: speed 0.110110, force 4.5944 N, moment 0.7312 Nm, torque 0.4042 Nm, cone 3.7401 N, maximum constraint 90.887544, feasible false
