evaluation 1: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 10: speed 0.211710, force 13.0909 N, moment 3.1866 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818218, feasible false
evaluation 20: speed 0.211710, force 13.0847 N, moment 3.1762 Nm, torque -0.2692 Nm, cone 0.0000 N, maximum constraint 260.694257, feasible false
evaluation 30: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 40: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818174, feasible false
evaluation 50: speed 0.211710, force 13.0902 N, moment 3.1916 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.803779, feasible false
evaluation 60: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 70: speed 0.211710, force 13.0909 N, moment 3.1868 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.817952, feasible false
evaluation 80: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818034, feasible false
evaluation 90: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2694 Nm, cone 0.0000 N, maximum constraint 260.818415, feasible false
evaluation 100: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818248, feasible false
evaluation 110: speed 0.151153, force 14.6372 N, moment 1.6423 Nm, torque -0.6526 Nm, cone 9.8820 N, maximum constraint 291.744048, feasible false
