valid report 1: speed 0.025000, force 0.079160 N, moment 0.024069 Nm, torque 0.685216 Nm, maximum inequality 0.583207, feasible false
valid report 10: speed 0.025000, force 0.078794 N, moment 0.024064 Nm, torque 0.685216 Nm, maximum inequality 0.575889, feasible false
valid report 20: speed 0.025000, force 0.079163 N, moment 0.024070 Nm, torque 0.685216 Nm, maximum inequality 0.583253, feasible false
valid report 30: speed 0.025000, force 0.079160 N, moment 0.024069 Nm, torque 0.685216 Nm, maximum inequality 0.583208, feasible false
valid report 40: speed 0.025000, force 0.079189 N, moment 0.024219 Nm, torque 0.685233 Nm, maximum inequality 0.583770, feasible false
valid report 50: speed 0.025000, force 0.080860 N, moment 0.024043 Nm, torque 0.685787 Nm, maximum inequality 0.617193, feasible false
valid report 60: speed 0.025000, force 0.079160 N, moment 0.024069 Nm, torque 0.685216 Nm, maximum inequality 0.583208, feasible false
valid report 70: speed 0.025000, force 0.079153 N, moment 0.024063 Nm, torque 0.685114 Nm, maximum inequality 0.583070, feasible false
valid report 80: speed 0.025000, force 0.079182 N, moment 0.024064 Nm, torque 0.685257 Nm, maximum inequality 0.583638, feasible false
valid report 90: speed 0.025000, force 0.079160 N, moment 0.024069 Nm, torque 0.685187 Nm, maximum inequality 0.583208, feasible false
valid report 100: speed 0.025000, force 0.079160 N, moment 0.024069 Nm, torque 0.685216 Nm, maximum inequality 0.583208, feasible false
valid report 110: speed 0.025000, force 0.079160 N, moment 0.024069 Nm, torque 0.685216 Nm, maximum inequality 0.583208, feasible false
valid report 120: speed 0.025000, force 0.079160 N, moment 0.024069 Nm, torque 0.685216 Nm, maximum inequality 0.583208, feasible false
valid report 130: speed 0.025000, force 0.079160 N, moment 0.024069 Nm, torque 0.685216 Nm, maximum inequality 0.583208, feasible false
valid report 140: speed 0.025000, force 0.079221 N, moment 0.024068 Nm, torque 0.685216 Nm, maximum inequality 0.584424, feasible false
valid report 150: speed 0.025000, force 0.079187 N, moment 0.024070 Nm, torque 0.685216 Nm, maximum inequality 0.583731, feasible false
valid report 160: speed 0.025273, force 0.079083 N, moment 0.024055 Nm, torque 0.686432 Nm, maximum inequality 0.581650, feasible false
valid report 170: speed 0.025273, force 0.079067 N, moment 0.024045 Nm, torque 0.686432 Nm, maximum inequality 0.581349, feasible false
valid report 180: speed 0.025273, force 0.079083 N, moment 0.024049 Nm, torque 0.686432 Nm, maximum inequality 0.581666, feasible false
valid report 190: speed 0.025273, force 0.079083 N, moment 0.024055 Nm, torque 0.686432 Nm, maximum inequality 0.581650, feasible false
valid report 200: speed 0.025273, force 0.079097 N, moment 0.024082 Nm, torque 0.686432 Nm, maximum inequality 0.581944, feasible false
valid report 210: speed 0.025273, force 0.079084 N, moment 0.023783 Nm, torque 0.686432 Nm, maximum inequality 0.581687, feasible false
valid report 220: speed 0.025273, force 0.078849 N, moment 0.024108 Nm, torque 0.686438 Nm, maximum inequality 0.576975, feasible false
valid report 230: speed 0.025273, force 0.079092 N, moment 0.024055 Nm, torque 0.686429 Nm, maximum inequality 0.581838, feasible false
valid report 240: speed 0.025273, force 0.078980 N, moment 0.024018 Nm, torque 0.686427 Nm, maximum inequality 0.579608, feasible false
valid report 250: speed 0.025273, force 0.079083 N, moment 0.024055 Nm, torque 0.686547 Nm, maximum inequality 0.581650, feasible false
valid report 260: speed 0.025273, force 0.079083 N, moment 0.024055 Nm, torque 0.686432 Nm, maximum inequality 0.581650, feasible false
valid report 270: speed 0.025273, force 0.079290 N, moment 0.024055 Nm, torque 0.686432 Nm, maximum inequality 0.585798, feasible false
valid report 280: speed 0.025273, force 0.079083 N, moment 0.024055 Nm, torque 0.686432 Nm, maximum inequality 0.581650, feasible false
valid report 290: speed 0.025273, force 0.079083 N, moment 0.024055 Nm, torque 0.686432 Nm, maximum inequality 0.581650, feasible false
valid report 300: speed 0.025273, force 0.078781 N, moment 0.024038 Nm, torque 0.686432 Nm, maximum inequality 0.575621, feasible false
valid report 310: speed 0.025273, force 0.079157 N, moment 0.024058 Nm, torque 0.686432 Nm, maximum inequality 0.583139, feasible false
