valid report 1: speed 0.025000, force 0.079160 N, moment 0.024069 Nm, torque 0.685216 Nm, maximum inequality 0.583207, feasible false
valid report 10: speed 0.026683, force 0.420821 N, moment 0.131818 Nm, torque 0.679852 Nm, maximum inequality 7.416430, feasible false
valid report 20: speed 0.026683, force 0.420822 N, moment 0.131824 Nm, torque 0.679852 Nm, maximum inequality 7.416432, feasible false
valid report 30: speed 0.026683, force 0.420822 N, moment 0.131824 Nm, torque 0.679852 Nm, maximum inequality 7.416432, feasible false
valid report 40: speed 0.026683, force 0.420845 N, moment 0.130813 Nm, torque 0.679868 Nm, maximum inequality 7.416895, feasible false
valid report 50: speed 0.026683, force 0.420822 N, moment 0.131824 Nm, torque 0.680427 Nm, maximum inequality 7.416434, feasible false
valid report 60: speed 0.026683, force 0.420822 N, moment 0.131824 Nm, torque 0.679852 Nm, maximum inequality 7.416432, feasible false
valid report 70: speed 0.026683, force 0.420822 N, moment 0.131824 Nm, torque 0.679749 Nm, maximum inequality 7.416432, feasible false
valid report 80: speed 0.026683, force 0.420822 N, moment 0.131824 Nm, torque 0.679893 Nm, maximum inequality 7.416432, feasible false
valid report 90: speed 0.026683, force 0.420822 N, moment 0.131824 Nm, torque 0.679822 Nm, maximum inequality 7.416432, feasible false
valid report 100: speed 0.026683, force 0.420827 N, moment 0.131829 Nm, torque 0.679852 Nm, maximum inequality 7.416536, feasible false
valid report 110: speed 0.026683, force 0.420825 N, moment 0.131825 Nm, torque 0.679852 Nm, maximum inequality 7.416491, feasible false
valid report 120: speed 0.026683, force 0.420854 N, moment 0.131917 Nm, torque 0.679852 Nm, maximum inequality 7.417080, feasible false
valid report 130: speed 0.026683, force 0.420809 N, moment 0.131829 Nm, torque 0.679852 Nm, maximum inequality 7.416172, feasible false
valid report 140: speed 0.026683, force 0.419038 N, moment 0.131823 Nm, torque 0.679852 Nm, maximum inequality 7.380763, feasible false
valid report 150: speed 0.026683, force 0.420822 N, moment 0.131824 Nm, torque 0.679852 Nm, maximum inequality 7.416432, feasible false
valid report 160: speed 0.026466, force 0.412622 N, moment 0.129293 Nm, torque 0.681086 Nm, maximum inequality 7.252445, feasible false
valid report 170: speed 0.026466, force 0.412621 N, moment 0.129286 Nm, torque 0.681086 Nm, maximum inequality 7.252417, feasible false
valid report 180: speed 0.026466, force 0.412623 N, moment 0.129293 Nm, torque 0.681086 Nm, maximum inequality 7.252450, feasible false
valid report 190: speed 0.026466, force 0.412622 N, moment 0.129293 Nm, torque 0.681086 Nm, maximum inequality 7.252445, feasible false
valid report 200: speed 0.026466, force 0.412622 N, moment 0.129293 Nm, torque 0.681086 Nm, maximum inequality 7.252445, feasible false
valid report 210: speed 0.026466, force 0.412621 N, moment 0.129300 Nm, torque 0.681086 Nm, maximum inequality 7.252418, feasible false
valid report 220: speed 0.026466, force 0.412622 N, moment 0.129293 Nm, torque 0.681092 Nm, maximum inequality 7.252445, feasible false
valid report 230: speed 0.026466, force 0.412622 N, moment 0.129293 Nm, torque 0.681084 Nm, maximum inequality 7.252445, feasible false
valid report 240: speed 0.026466, force 0.412622 N, moment 0.129293 Nm, torque 0.681082 Nm, maximum inequality 7.252445, feasible false
valid report 250: speed 0.026466, force 0.412622 N, moment 0.129293 Nm, torque 0.681201 Nm, maximum inequality 7.252445, feasible false
valid report 260: speed 0.026466, force 0.408001 N, moment 0.129288 Nm, torque 0.681087 Nm, maximum inequality 7.160021, feasible false
valid report 270: speed 0.026466, force 0.412623 N, moment 0.129295 Nm, torque 0.681086 Nm, maximum inequality 7.252470, feasible false
valid report 280: speed 0.026466, force 0.412623 N, moment 0.129324 Nm, torque 0.681086 Nm, maximum inequality 7.252451, feasible false
valid report 290: speed 0.026466, force 0.412622 N, moment 0.129293 Nm, torque 0.681086 Nm, maximum inequality 7.252436, feasible false
valid report 300: speed 0.026466, force 0.412615 N, moment 0.129277 Nm, torque 0.681086 Nm, maximum inequality 7.252300, feasible false
valid report 310: speed 0.026466, force 0.412622 N, moment 0.129293 Nm, torque 0.681086 Nm, maximum inequality 7.252445, feasible false
