evaluation 1: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0000 N, maximum constraint 301.496623, feasible false
evaluation 10: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0000 N, maximum constraint 301.496683, feasible false
evaluation 20: speed 0.211710, force 15.1318 N, moment 5.5963 Nm, torque -1.7942 Nm, cone 0.0000 N, maximum constraint 301.636333, feasible false
evaluation 30: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7944 Nm, cone 0.0000 N, maximum constraint 301.496623, feasible false
evaluation 40: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0000 N, maximum constraint 301.496584, feasible false
evaluation 50: speed 0.211710, force 15.1248 N, moment 5.5997 Nm, torque -1.7940 Nm, cone 0.0000 N, maximum constraint 301.496629, feasible false
evaluation 60: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0000 N, maximum constraint 301.496623, feasible false
evaluation 70: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0000 N, maximum constraint 301.496668, feasible false
evaluation 80: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0000 N, maximum constraint 301.496646, feasible false
evaluation 90: speed 0.211710, force 15.1259 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0000 N, maximum constraint 301.518014, feasible false
evaluation 100: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7939 Nm, cone 0.0000 N, maximum constraint 301.496623, feasible false
evaluation 110: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0000 N, maximum constraint 301.496623, feasible false
evaluation 120: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0000 N, maximum constraint 301.496623, feasible false
evaluation 130: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0012 N, maximum constraint 301.496623, feasible false
evaluation 140: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0000 N, maximum constraint 301.496623, feasible false
evaluation 150: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0000 N, maximum constraint 301.496623, feasible false
evaluation 160: speed 0.211710, force 15.1274 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0012 N, maximum constraint 301.548633, feasible false
evaluation 170: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0000 N, maximum constraint 301.496623, feasible false
evaluation 180: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0000 N, maximum constraint 301.496623, feasible false
evaluation 190: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0000 N, maximum constraint 301.496623, feasible false
evaluation 200: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0000 N, maximum constraint 301.496623, feasible false
evaluation 210: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0000 N, maximum constraint 301.496623, feasible false
evaluation 220: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0012 N, maximum constraint 301.496623, feasible false
evaluation 230: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0000 N, maximum constraint 301.496623, feasible false
evaluation 240: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0078 N, maximum constraint 301.496623, feasible false
evaluation 250: speed 0.211710, force 15.1248 N, moment 5.6005 Nm, torque -1.7940 Nm, cone 0.0000 N, maximum constraint 301.496623, feasible false
evaluation 260: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0062 N, maximum constraint 301.496623, feasible false
evaluation 270: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0000 N, maximum constraint 301.496623, feasible false
evaluation 280: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0000 N, maximum constraint 301.496623, feasible false
evaluation 290: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0073 N, maximum constraint 301.496623, feasible false
evaluation 300: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0000 N, maximum constraint 301.496623, feasible false
evaluation 310: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0000 N, maximum constraint 301.496623, feasible false
evaluation 320: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0065 N, maximum constraint 301.496623, feasible false
evaluation 330: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0000 N, maximum constraint 301.496623, feasible false
evaluation 340: speed 0.211710, force 15.1248 N, moment 5.5996 Nm, torque -1.7940 Nm, cone 0.0000 N, maximum constraint 301.496623, feasible false
evaluation 350: speed 0.165483, force 13.9844 N, moment 1.7177 Nm, torque -0.9048 Nm, cone 9.6721 N, maximum constraint 278.688811, feasible false
evaluation 360: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 370: speed 0.165504, force 13.9849 N, moment 1.7173 Nm, torque -0.9055 Nm, cone 9.6721 N, maximum constraint 278.698219, feasible false
evaluation 380: speed 0.165504, force 13.9847 N, moment 1.7178 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.694122, feasible false
evaluation 390: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 400: speed 0.165504, force 13.9848 N, moment 1.7178 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.696065, feasible false
evaluation 410: speed 0.165504, force 13.9848 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.695742, feasible false
evaluation 420: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699113, feasible false
evaluation 430: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699122, feasible false
evaluation 440: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699080, feasible false
evaluation 450: speed 0.165504, force 13.9915 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.829207, feasible false
evaluation 460: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 470: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 480: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 490: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 500: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 510: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 520: speed 0.165504, force 13.9850 N, moment 1.7183 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 530: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 540: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 550: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 560: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
