evaluation 1: speed 0.211710, force 22.8644 N, moment 6.7391 Nm, torque -0.0452 Nm, cone 0.0000 N, maximum constraint 456.288939, feasible false
evaluation 10: speed 0.211710, force 22.8645 N, moment 6.7391 Nm, torque -0.0452 Nm, cone 0.0000 N, maximum constraint 456.289116, feasible false
evaluation 20: speed 0.211710, force 22.8677 N, moment 6.7386 Nm, torque -0.0452 Nm, cone 0.0000 N, maximum constraint 456.354701, feasible false
evaluation 30: speed 0.211710, force 22.8644 N, moment 6.7392 Nm, torque -0.0452 Nm, cone 0.0000 N, maximum constraint 456.288939, feasible false
evaluation 40: speed 0.211710, force 22.8645 N, moment 6.7391 Nm, torque -0.0452 Nm, cone 0.0000 N, maximum constraint 456.289323, feasible false
evaluation 50: speed 0.211710, force 22.8646 N, moment 6.7397 Nm, torque -0.0448 Nm, cone 0.0000 N, maximum constraint 456.292832, feasible false
evaluation 60: speed 0.211710, force 22.8644 N, moment 6.7391 Nm, torque -0.0452 Nm, cone 0.0000 N, maximum constraint 456.288939, feasible false
evaluation 70: speed 0.211710, force 22.8645 N, moment 6.7391 Nm, torque -0.0451 Nm, cone 0.0000 N, maximum constraint 456.289510, feasible false
evaluation 80: speed 0.211710, force 22.8645 N, moment 6.7392 Nm, torque -0.0452 Nm, cone 0.0000 N, maximum constraint 456.289691, feasible false
evaluation 90: speed 0.211710, force 22.8644 N, moment 6.7391 Nm, torque -0.0452 Nm, cone 0.0000 N, maximum constraint 456.288939, feasible false
evaluation 100: speed 0.211710, force 22.8644 N, moment 6.7391 Nm, torque -0.0452 Nm, cone 0.0000 N, maximum constraint 456.288882, feasible false
evaluation 110: speed 0.152864, force 27.1783 N, moment 4.7999 Nm, torque -7.3278 Nm, cone 45.8329 N, maximum constraint 916.658855, feasible false
evaluation 120: speed 0.112534, force 19.4488 N, moment 1.2893 Nm, torque -3.8846 Nm, cone 26.6255 N, maximum constraint 532.509660, feasible false
evaluation 130: speed 0.112534, force 19.4497 N, moment 1.2901 Nm, torque -3.8846 Nm, cone 26.6255 N, maximum constraint 532.509660, feasible false
evaluation 140: speed 0.112534, force 19.4497 N, moment 1.2901 Nm, torque -3.8846 Nm, cone 26.6255 N, maximum constraint 532.509660, feasible false
evaluation 150: speed 0.112534, force 19.4500 N, moment 1.2901 Nm, torque -3.8846 Nm, cone 26.6255 N, maximum constraint 532.509660, feasible false
evaluation 160: speed 0.112534, force 19.4498 N, moment 1.2969 Nm, torque -3.8853 Nm, cone 26.6255 N, maximum constraint 532.509660, feasible false
evaluation 170: speed 0.112534, force 19.4500 N, moment 1.2901 Nm, torque -3.8846 Nm, cone 26.6255 N, maximum constraint 532.509660, feasible false
evaluation 180: speed 0.112534, force 19.4497 N, moment 1.2901 Nm, torque -3.8845 Nm, cone 26.6255 N, maximum constraint 532.509660, feasible false
evaluation 190: speed 0.112534, force 19.4497 N, moment 1.2901 Nm, torque -3.8847 Nm, cone 26.6255 N, maximum constraint 532.509660, feasible false
evaluation 200: speed 0.112534, force 19.4497 N, moment 1.2901 Nm, torque -3.8846 Nm, cone 26.6255 N, maximum constraint 532.509660, feasible false
evaluation 210: speed 0.112534, force 19.4497 N, moment 1.2901 Nm, torque -3.8846 Nm, cone 26.6255 N, maximum constraint 532.509660, feasible false
evaluation 220: speed 0.131384, force 5.3036 N, moment 1.1503 Nm, torque -0.6609 Nm, cone 15.2497 N, maximum constraint 304.994928, feasible false
evaluation 230: speed 0.131384, force 5.3045 N, moment 1.1504 Nm, torque -0.6608 Nm, cone 15.2497 N, maximum constraint 304.994928, feasible false
evaluation 240: speed 0.131384, force 5.3045 N, moment 1.1504 Nm, torque -0.6608 Nm, cone 15.2497 N, maximum constraint 304.994928, feasible false
evaluation 250: speed 0.131384, force 5.3072 N, moment 1.1504 Nm, torque -0.6607 Nm, cone 15.2497 N, maximum constraint 304.994928, feasible false
evaluation 260: speed 0.131384, force 5.3039 N, moment 1.1508 Nm, torque -0.6608 Nm, cone 15.2497 N, maximum constraint 304.994928, feasible false
evaluation 270: speed 0.131384, force 5.3045 N, moment 1.1504 Nm, torque -0.6608 Nm, cone 15.2497 N, maximum constraint 304.994928, feasible false
