evaluation 10: speed 0.104000, force 1.7043 N, moment 0.5514 Nm, torque margin 0.7468 Nm, penetration 0.000248 m
evaluation 20: speed 0.104000, force 1.7043 N, moment 0.5514 Nm, torque margin 0.7468 Nm, penetration 0.000248 m
evaluation 30: speed 0.104000, force 1.7042 N, moment 0.5514 Nm, torque margin 0.7468 Nm, penetration 0.000248 m
evaluation 40: speed 0.104000, force 1.7043 N, moment 0.5514 Nm, torque margin 0.7468 Nm, penetration 0.000248 m
evaluation 50: speed 0.104000, force 1.7043 N, moment 0.5514 Nm, torque margin 0.7468 Nm, penetration 0.000248 m
evaluation 60: speed 0.104000, force 1.7042 N, moment 0.5514 Nm, torque margin 0.7468 Nm, penetration 0.000249 m
evaluation 70: speed 0.104000, force 1.7043 N, moment 0.5514 Nm, torque margin 0.7468 Nm, penetration 0.000248 m
evaluation 80: speed 0.104000, force 1.7043 N, moment 0.5514 Nm, torque margin 0.7468 Nm, penetration 0.000248 m
evaluation 90: speed 0.104000, force 1.7043 N, moment 0.5514 Nm, torque margin 0.7468 Nm, penetration 0.000248 m
evaluation 100: speed 0.104000, force 1.7043 N, moment 0.5514 Nm, torque margin 0.7467 Nm, penetration 0.000248 m
evaluation 110: speed 0.165366, force 0.7778 N, moment 0.2514 Nm, torque margin -0.0828 Nm, penetration 0.000246 m
evaluation 120: speed 0.165344, force 0.7773 N, moment 0.2513 Nm, torque margin -0.0828 Nm, penetration 0.000246 m
evaluation 130: speed 0.165344, force 0.7773 N, moment 0.2513 Nm, torque margin -0.0828 Nm, penetration 0.000246 m
evaluation 140: speed 0.165344, force 0.7774 N, moment 0.2513 Nm, torque margin -0.0828 Nm, penetration 0.000246 m
evaluation 150: speed 0.165344, force 0.7773 N, moment 0.2513 Nm, torque margin -0.0828 Nm, penetration 0.000246 m
evaluation 160: speed 0.165344, force 0.7773 N, moment 0.2513 Nm, torque margin -0.0828 Nm, penetration 0.000246 m
evaluation 170: speed 0.165344, force 0.7773 N, moment 0.2513 Nm, torque margin -0.0828 Nm, penetration 0.000246 m
evaluation 180: speed 0.165344, force 0.7773 N, moment 0.2513 Nm, torque margin -0.0828 Nm, penetration 0.000246 m
evaluation 190: speed 0.165344, force 0.7773 N, moment 0.2513 Nm, torque margin -0.0828 Nm, penetration 0.000246 m
evaluation 200: speed 0.165344, force 0.7769 N, moment 0.2511 Nm, torque margin -0.0828 Nm, penetration 0.000246 m
evaluation 210: speed 0.165344, force 0.7772 N, moment 0.2513 Nm, torque margin -0.0828 Nm, penetration 0.000246 m
evaluation 220: speed 0.183569, force 0.0614 N, moment 0.0199 Nm, torque margin -0.0897 Nm, penetration 0.000195 m
evaluation 230: speed 0.183550, force 0.0613 N, moment 0.0199 Nm, torque margin -0.0897 Nm, penetration 0.000195 m
evaluation 240: speed 0.183550, force 0.0613 N, moment 0.0199 Nm, torque margin -0.0897 Nm, penetration 0.000195 m
evaluation 250: speed 0.183550, force 0.0614 N, moment 0.0199 Nm, torque margin -0.0897 Nm, penetration 0.000195 m
evaluation 260: speed 0.183550, force 0.0614 N, moment 0.0199 Nm, torque margin -0.0897 Nm, penetration 0.000195 m
evaluation 270: speed 0.183550, force 0.0613 N, moment 0.0199 Nm, torque margin -0.0897 Nm, penetration 0.000195 m
