valid report 1: speed 0.025224, force 0.036240 N, moment 0.012868 Nm, torque 1.260753 Nm, maximum inequality 0.415778, feasible false
valid report 10: speed 0.025224, force 0.040141 N, moment 0.012868 Nm, torque 1.260704 Nm, maximum inequality 0.415512, feasible false
valid report 20: speed 0.025224, force 0.039019 N, moment 0.012853 Nm, torque 1.260700 Nm, maximum inequality 0.414111, feasible false
valid report 30: speed 0.025224, force 0.036240 N, moment 0.012849 Nm, torque 1.260753 Nm, maximum inequality 0.415778, feasible false
valid report 40: speed 0.025224, force 0.036331 N, moment 0.012868 Nm, torque 1.260753 Nm, maximum inequality 0.415778, feasible false
valid report 50: speed 0.025224, force 0.036233 N, moment 0.012731 Nm, torque 1.260753 Nm, maximum inequality 0.415778, feasible false
valid report 60: speed 0.025224, force 0.036651 N, moment 0.012898 Nm, torque 1.260763 Nm, maximum inequality 0.415778, feasible false
valid report 70: speed 0.025224, force 0.036395 N, moment 0.012868 Nm, torque 1.260753 Nm, maximum inequality 0.415778, feasible false
valid report 80: speed 0.025224, force 0.036240 N, moment 0.012916 Nm, torque 1.260753 Nm, maximum inequality 0.415778, feasible false
valid report 90: speed 0.025224, force 0.053195 N, moment 0.012838 Nm, torque 1.260753 Nm, maximum inequality 0.415778, feasible false
valid report 100: speed 0.025224, force 0.036240 N, moment 0.012868 Nm, torque 1.260753 Nm, maximum inequality 0.415778, feasible false
valid report 110: speed 0.025224, force 0.036240 N, moment 0.012868 Nm, torque 1.260753 Nm, maximum inequality 0.415778, feasible false
valid report 120: speed 0.025224, force 0.036240 N, moment 0.012868 Nm, torque 1.260753 Nm, maximum inequality 0.415778, feasible false
valid report 130: speed 0.025224, force 0.036923 N, moment 0.012868 Nm, torque 1.260753 Nm, maximum inequality 0.415778, feasible false
valid report 140: speed 0.025224, force 0.039983 N, moment 0.012868 Nm, torque 1.260753 Nm, maximum inequality 0.415778, feasible false
valid report 150: speed 0.025224, force 0.036368 N, moment 0.012868 Nm, torque 1.260753 Nm, maximum inequality 0.415778, feasible false
valid report 160: speed 0.025224, force 0.036274 N, moment 0.012868 Nm, torque 1.260753 Nm, maximum inequality 0.415778, feasible false
valid report 170: speed 0.025224, force 0.036240 N, moment 0.012868 Nm, torque 1.260692 Nm, maximum inequality 0.415778, feasible false
valid report 180: speed 0.025224, force 0.036240 N, moment 0.012868 Nm, torque 1.260480 Nm, maximum inequality 0.409374, feasible false
valid report 190: speed 0.025224, force 0.054583 N, moment 0.012868 Nm, torque 1.260753 Nm, maximum inequality 0.376307, feasible false
valid report 200: speed 0.025224, force 0.041871 N, moment 0.012876 Nm, torque 1.260753 Nm, maximum inequality 0.415778, feasible false
valid report 210: speed 0.025207, force 0.065108 N, moment 0.012929 Nm, torque 1.261393 Nm, maximum inequality 0.302154, feasible false
valid report 220: speed 0.025207, force 0.040066 N, moment 0.012871 Nm, torque 1.261013 Nm, maximum inequality 0.406910, feasible false
valid report 230: speed 0.025207, force 0.039944 N, moment 0.012869 Nm, torque 1.261101 Nm, maximum inequality 0.408136, feasible false
valid report 240: speed 0.025211, force 0.036240 N, moment 0.012884 Nm, torque 1.261051 Nm, maximum inequality 0.409884, feasible false
valid report 250: speed 0.025207, force 0.036223 N, moment 0.012872 Nm, torque 1.261061 Nm, maximum inequality 0.407176, feasible false
valid report 260: speed 0.025207, force 0.036224 N, moment 0.012871 Nm, torque 1.261061 Nm, maximum inequality 0.409711, feasible false
valid report 270: speed 0.025207, force 0.036224 N, moment 0.012865 Nm, torque 1.261044 Nm, maximum inequality 0.407176, feasible false
