evaluation 1: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.490477, feasible false
evaluation 10: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.490793, feasible false
evaluation 20: speed 0.211710, force 12.5245 N, moment 3.0668 Nm, torque -0.2692 Nm, cone 0.0000 N, maximum constraint 249.490278, feasible false
evaluation 30: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.490477, feasible false
evaluation 40: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.490543, feasible false
evaluation 50: speed 0.211710, force 12.5252 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.503757, feasible false
evaluation 60: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.490477, feasible false
evaluation 70: speed 0.211710, force 12.5246 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.491068, feasible false
evaluation 80: speed 0.211710, force 12.5246 N, moment 3.0665 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.492983, feasible false
evaluation 90: speed 0.211710, force 12.5421 N, moment 3.0667 Nm, torque -0.2701 Nm, cone 0.0000 N, maximum constraint 249.841501, feasible false
evaluation 100: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.490477, feasible false
evaluation 110: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2696 Nm, cone 0.0000 N, maximum constraint 249.490477, feasible false
evaluation 120: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.490477, feasible false
evaluation 130: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.490477, feasible false
evaluation 140: speed 0.211710, force 12.5245 N, moment 3.0667 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.490477, feasible false
evaluation 150: speed 0.211710, force 12.5329 N, moment 3.0668 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 249.658445, feasible false
evaluation 160: speed 0.162196, force 5.7313 N, moment 1.1851 Nm, torque 0.1023 Nm, cone 0.9572 N, maximum constraint 113.625984, feasible false
evaluation 170: speed 0.162182, force 5.7312 N, moment 1.1851 Nm, torque 0.1024 Nm, cone 0.9572 N, maximum constraint 113.623512, feasible false
evaluation 180: speed 0.162182, force 5.7312 N, moment 1.1848 Nm, torque 0.1025 Nm, cone 0.9572 N, maximum constraint 113.623461, feasible false
evaluation 190: speed 0.162182, force 5.7312 N, moment 1.1854 Nm, torque 0.1025 Nm, cone 0.9572 N, maximum constraint 113.623405, feasible false
evaluation 200: speed 0.162182, force 5.7312 N, moment 1.1851 Nm, torque 0.1025 Nm, cone 0.9572 N, maximum constraint 113.623512, feasible false
evaluation 210: speed 0.162182, force 5.7312 N, moment 1.1851 Nm, torque 0.1025 Nm, cone 0.9572 N, maximum constraint 113.623779, feasible false
evaluation 220: speed 0.162182, force 5.7312 N, moment 1.1851 Nm, torque 0.1024 Nm, cone 0.9572 N, maximum constraint 113.623446, feasible false
evaluation 230: speed 0.162182, force 5.7312 N, moment 1.1851 Nm, torque 0.1025 Nm, cone 0.9572 N, maximum constraint 113.623387, feasible false
evaluation 240: speed 0.162182, force 5.7312 N, moment 1.1851 Nm, torque 0.1025 Nm, cone 0.9572 N, maximum constraint 113.623510, feasible false
evaluation 250: speed 0.162182, force 5.7313 N, moment 1.1851 Nm, torque 0.1025 Nm, cone 0.9572 N, maximum constraint 113.625397, feasible false
evaluation 260: speed 0.162182, force 5.7312 N, moment 1.1851 Nm, torque 0.1025 Nm, cone 0.9572 N, maximum constraint 113.623512, feasible false
evaluation 270: speed 0.162182, force 5.7312 N, moment 1.1850 Nm, torque 0.1025 Nm, cone 0.9572 N, maximum constraint 113.623512, feasible false
evaluation 280: speed 0.162182, force 5.7312 N, moment 1.1851 Nm, torque 0.1025 Nm, cone 0.9572 N, maximum constraint 113.623512, feasible false
evaluation 290: speed 0.162182, force 5.7312 N, moment 1.1851 Nm, torque 0.1025 Nm, cone 0.9572 N, maximum constraint 113.623512, feasible false
evaluation 300: speed 0.162182, force 5.7312 N, moment 1.1851 Nm, torque 0.1025 Nm, cone 0.9572 N, maximum constraint 113.623512, feasible false
evaluation 310: speed 0.162182, force 5.7312 N, moment 1.1851 Nm, torque 0.1026 Nm, cone 0.9572 N, maximum constraint 113.623405, feasible false
