valid report 1: speed 0.025000, force 0.079160 N, moment 0.024069 Nm, torque 0.685216 Nm, maximum inequality 0.583207, feasible false
valid report 10: speed 0.025000, force 0.087851 N, moment 0.023933 Nm, torque 0.685216 Nm, maximum inequality 0.757013, feasible false
valid report 20: speed 0.025000, force 0.097295 N, moment 0.025483 Nm, torque 0.684715 Nm, maximum inequality 0.945896, feasible false
valid report 30: speed 0.025000, force 0.114084 N, moment 0.028041 Nm, torque 0.682062 Nm, maximum inequality 9.077586, feasible false
valid report 40: speed 0.025000, force 0.115839 N, moment 0.028428 Nm, torque 0.686876 Nm, maximum inequality 8.110752, feasible false
valid report 50: speed 0.025000, force 0.115839 N, moment 0.028428 Nm, torque 0.689775 Nm, maximum inequality 2.524195, feasible false
valid report 60: speed 0.025000, force 0.115839 N, moment 0.028428 Nm, torque 0.689019 Nm, maximum inequality 1.316781, feasible false
valid report 70: speed 0.025000, force 0.115839 N, moment 0.028428 Nm, torque 0.688911 Nm, maximum inequality 1.842919, feasible false
valid report 80: speed 0.025000, force 0.115839 N, moment 0.028428 Nm, torque 0.689464 Nm, maximum inequality 1.316788, feasible false
valid report 90: speed 0.025000, force 0.115839 N, moment 0.028428 Nm, torque 0.689785 Nm, maximum inequality 1.316784, feasible false
valid report 100: speed 0.025000, force 0.115839 N, moment 0.028428 Nm, torque 0.689487 Nm, maximum inequality 1.316779, feasible false
valid report 110: speed 0.025000, force 0.115839 N, moment 0.028428 Nm, torque 0.689334 Nm, maximum inequality 2.019613, feasible false
valid report 120: speed 0.025000, force 0.115839 N, moment 0.028428 Nm, torque 0.689429 Nm, maximum inequality 1.316779, feasible false
valid report 130: speed 0.025000, force 0.115839 N, moment 0.028428 Nm, torque 0.685045 Nm, maximum inequality 12.124561, feasible false
valid report 140: speed 0.025000, force 0.115839 N, moment 0.028428 Nm, torque 0.690516 Nm, maximum inequality 6.704179, feasible false
valid report 150: speed 0.025000, force 0.115839 N, moment 0.028428 Nm, torque 0.689056 Nm, maximum inequality 1.316781, feasible false
valid report 160: speed 0.025000, force 0.115839 N, moment 0.028428 Nm, torque 0.690219 Nm, maximum inequality 5.915520, feasible false
valid report 170: speed 0.025000, force 0.115839 N, moment 0.028428 Nm, torque 0.689259 Nm, maximum inequality 8.499238, feasible false
valid report 180: speed 0.025000, force 0.115839 N, moment 0.028428 Nm, torque 0.693742 Nm, maximum inequality 37.289950, feasible false
valid report 190: speed 0.025000, force 0.115839 N, moment 0.028428 Nm, torque 0.692345 Nm, maximum inequality 29.301238, feasible false
valid report 200: speed 0.025000, force 0.115839 N, moment 0.028428 Nm, torque 0.688925 Nm, maximum inequality 29.145516, feasible false
valid report 210: speed 0.025000, force 0.115839 N, moment 0.028428 Nm, torque 0.693581 Nm, maximum inequality 16.585504, feasible false
valid report 220: speed 0.025000, force 0.115839 N, moment 0.028428 Nm, torque 0.695731 Nm, maximum inequality 17.985446, feasible false
valid report 230: speed 0.025000, force 0.115839 N, moment 0.028428 Nm, torque 0.688946 Nm, maximum inequality 30.360771, feasible false
valid report 240: speed 0.025000, force 0.115839 N, moment 0.028428 Nm, torque 0.692640 Nm, maximum inequality 6.325211, feasible false
valid report 250: speed 0.025000, force 0.115839 N, moment 0.028428 Nm, torque 0.691038 Nm, maximum inequality 3.727487, feasible false
valid report 260: speed 0.025000, force 0.115839 N, moment 0.028428 Nm, torque 0.690953 Nm, maximum inequality 2.719534, feasible false
valid report 270: speed 0.025000, force 0.115839 N, moment 0.028428 Nm, torque 0.691031 Nm, maximum inequality 4.173291, feasible false
