evaluation 1: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 10: speed 0.211710, force 13.0909 N, moment 3.1876 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.817551, feasible false
evaluation 20: speed 0.211710, force 13.0971 N, moment 3.1972 Nm, torque -0.2698 Nm, cone 0.0000 N, maximum constraint 260.942090, feasible false
evaluation 30: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 40: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818166, feasible false
evaluation 50: speed 0.211710, force 13.0916 N, moment 3.1818 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.832565, feasible false
evaluation 60: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 70: speed 0.211710, force 13.0909 N, moment 3.1866 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818394, feasible false
evaluation 80: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818313, feasible false
evaluation 90: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2696 Nm, cone 0.0000 N, maximum constraint 260.817932, feasible false
evaluation 100: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818099, feasible false
evaluation 110: speed 0.211710, force 13.0909 N, moment 3.1880 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 120: speed 0.211710, force 13.0909 N, moment 3.1868 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 130: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 140: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 150: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 160: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 170: speed 0.211710, force 13.0909 N, moment 3.1880 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 180: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 190: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 200: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 210: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 220: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 230: speed 0.211710, force 13.0909 N, moment 3.1880 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 240: speed 0.211710, force 13.0909 N, moment 3.1868 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 250: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 260: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 270: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 280: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 290: speed 0.211710, force 13.0909 N, moment 3.1880 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 300: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 310: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 320: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 330: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 340: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 350: speed 0.144798, force 13.5409 N, moment 1.3888 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.817722, feasible false
evaluation 360: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 370: speed 0.144785, force 13.5414 N, moment 1.3887 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827582, feasible false
evaluation 380: speed 0.144785, force 13.5380 N, moment 1.3888 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.760729, feasible false
evaluation 390: speed 0.144785, force 13.5413 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.826912, feasible false
evaluation 400: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827380, feasible false
evaluation 410: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827106, feasible false
evaluation 420: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827032, feasible false
evaluation 430: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 440: speed 0.144785, force 13.5414 N, moment 1.3887 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 450: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827023, feasible false
evaluation 460: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 470: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 480: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
