evaluation 1: speed 0.211710, force 40.5527 N, moment 5.0850 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.054863, feasible false
evaluation 10: speed 0.211710, force 40.5527 N, moment 5.0851 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.054919, feasible false
evaluation 20: speed 0.211710, force 40.5527 N, moment 5.1044 Nm, torque -0.2698 Nm, cone 0.0000 N, maximum constraint 810.054750, feasible false
evaluation 30: speed 0.211710, force 40.5527 N, moment 5.0850 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.054863, feasible false
evaluation 40: speed 0.211710, force 40.5527 N, moment 5.0850 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.054883, feasible false
evaluation 50: speed 0.211710, force 40.5527 N, moment 5.0753 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.054841, feasible false
evaluation 60: speed 0.211710, force 40.5527 N, moment 5.0850 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.054863, feasible false
evaluation 70: speed 0.211710, force 40.5527 N, moment 5.0850 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.054662, feasible false
evaluation 80: speed 0.211710, force 40.5527 N, moment 5.0850 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.054751, feasible false
evaluation 90: speed 0.211710, force 40.5533 N, moment 5.0850 Nm, torque -0.2696 Nm, cone 0.0000 N, maximum constraint 810.065573, feasible false
evaluation 100: speed 0.211710, force 40.5527 N, moment 5.0850 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.054833, feasible false
evaluation 110: speed 0.211710, force 40.5527 N, moment 5.0863 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.054863, feasible false
evaluation 120: speed 0.211710, force 40.5527 N, moment 5.0851 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.054863, feasible false
evaluation 130: speed 0.211710, force 40.5527 N, moment 5.0850 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.054863, feasible false
evaluation 140: speed 0.211710, force 40.5527 N, moment 5.0850 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.054863, feasible false
evaluation 150: speed 0.211710, force 40.5549 N, moment 5.0850 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.097501, feasible false
evaluation 160: speed 0.211710, force 40.5527 N, moment 5.0850 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.054863, feasible false
evaluation 170: speed 0.211710, force 40.5527 N, moment 5.0863 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.054863, feasible false
evaluation 180: speed 0.211710, force 40.5527 N, moment 5.0851 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.054863, feasible false
evaluation 190: speed 0.211710, force 40.5527 N, moment 5.0850 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.054863, feasible false
evaluation 200: speed 0.211710, force 40.5527 N, moment 5.0850 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.054863, feasible false
evaluation 210: speed 0.211710, force 40.5557 N, moment 5.0850 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.113472, feasible false
evaluation 220: speed 0.211710, force 40.5527 N, moment 5.0850 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.054863, feasible false
evaluation 230: speed 0.211710, force 40.5527 N, moment 5.0863 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.054863, feasible false
evaluation 240: speed 0.211710, force 40.5527 N, moment 5.0851 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.054863, feasible false
evaluation 250: speed 0.211710, force 40.5527 N, moment 5.0850 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.054863, feasible false
evaluation 260: speed 0.211710, force 40.5527 N, moment 5.0850 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.054863, feasible false
evaluation 270: speed 0.211710, force 40.5549 N, moment 5.0850 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.097501, feasible false
evaluation 280: speed 0.211710, force 40.5527 N, moment 5.0850 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.054863, feasible false
evaluation 290: speed 0.211710, force 40.5527 N, moment 5.0863 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.054863, feasible false
evaluation 300: speed 0.211710, force 40.5527 N, moment 5.0851 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.054863, feasible false
evaluation 310: speed 0.211710, force 40.5527 N, moment 5.0850 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.054863, feasible false
evaluation 320: speed 0.211710, force 40.5527 N, moment 5.0850 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.054863, feasible false
evaluation 330: speed 0.211710, force 40.5557 N, moment 5.0850 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.113472, feasible false
evaluation 340: speed 0.211710, force 40.5527 N, moment 5.0850 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 810.054863, feasible false
evaluation 350: speed 0.137069, force 23.2723 N, moment 1.5119 Nm, torque -0.5388 Nm, cone 3.9058 N, maximum constraint 464.446916, feasible false
evaluation 360: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 370: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446501, feasible false
evaluation 380: speed 0.137057, force 23.2724 N, moment 1.5118 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.447512, feasible false
evaluation 390: speed 0.137057, force 23.2663 N, moment 1.5116 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.326482, feasible false
evaluation 400: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 410: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446544, feasible false
evaluation 420: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 430: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5388 Nm, cone 3.9058 N, maximum constraint 464.446600, feasible false
evaluation 440: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 450: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 460: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5391 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 470: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 480: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 490: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 500: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 510: speed 0.137057, force 23.2723 N, moment 1.5118 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446570, feasible false
evaluation 520: speed 0.137057, force 23.2747 N, moment 1.5116 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.494421, feasible false
evaluation 530: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 540: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446782, feasible false
evaluation 550: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 560: speed 0.137057, force 23.2724 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.447370, feasible false
evaluation 570: speed 0.137057, force 23.2723 N, moment 1.5118 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446539, feasible false
