evaluation 10: speed 0.066667, force 8.4299 N, moment 3.1598 Nm, torque margin 0.7852 Nm, penetration 0.000331 m
evaluation 20: speed 0.066667, force 8.4299 N, moment 3.1597 Nm, torque margin 0.7848 Nm, penetration 0.000331 m
evaluation 30: speed 0.066667, force 8.4300 N, moment 3.1598 Nm, torque margin 0.7852 Nm, penetration 0.000331 m
evaluation 40: speed 0.066667, force 8.4299 N, moment 3.1598 Nm, torque margin 0.7852 Nm, penetration 0.000331 m
evaluation 50: speed 0.066667, force 8.4299 N, moment 3.1597 Nm, torque margin 0.7852 Nm, penetration 0.000331 m
evaluation 60: speed 0.066667, force 8.4300 N, moment 3.1598 Nm, torque margin 0.7853 Nm, penetration 0.000331 m
evaluation 70: speed 0.066667, force 8.4299 N, moment 3.1598 Nm, torque margin 0.7852 Nm, penetration 0.000331 m
evaluation 80: speed 0.066667, force 8.4299 N, moment 3.1598 Nm, torque margin 0.7852 Nm, penetration 0.000331 m
evaluation 90: speed 0.066667, force 8.4299 N, moment 3.1598 Nm, torque margin 0.7852 Nm, penetration 0.000331 m
evaluation 100: speed 0.066667, force 8.4299 N, moment 3.1597 Nm, torque margin 0.7852 Nm, penetration 0.000331 m
evaluation 110: speed 0.112500, force 8.2137 N, moment 3.1398 Nm, torque margin -0.0440 Nm, penetration 0.001249 m
evaluation 120: speed 0.112500, force 8.2137 N, moment 3.1396 Nm, torque margin -0.0440 Nm, penetration 0.001249 m
evaluation 130: speed 0.112500, force 8.2139 N, moment 3.1397 Nm, torque margin -0.0440 Nm, penetration 0.001249 m
evaluation 140: speed 0.112500, force 8.2140 N, moment 3.1397 Nm, torque margin -0.0440 Nm, penetration 0.001249 m
evaluation 150: speed 0.112500, force 8.2139 N, moment 3.1397 Nm, torque margin -0.0440 Nm, penetration 0.001249 m
evaluation 160: speed 0.112500, force 8.2139 N, moment 3.1397 Nm, torque margin -0.0440 Nm, penetration 0.001249 m
evaluation 170: speed 0.112500, force 8.2140 N, moment 3.1398 Nm, torque margin -0.0440 Nm, penetration 0.001249 m
evaluation 180: speed 0.030866, force 10.6485 N, moment 6.1589 Nm, torque margin -0.2876 Nm, penetration 0.000796 m
evaluation 190: speed 0.030866, force 10.6504 N, moment 6.1603 Nm, torque margin -0.2876 Nm, penetration 0.000795 m
evaluation 200: speed 0.030866, force 10.6439 N, moment 6.1550 Nm, torque margin -0.2885 Nm, penetration 0.000795 m
evaluation 210: speed 0.030866, force 10.6484 N, moment 6.1588 Nm, torque margin -0.2876 Nm, penetration 0.000795 m
evaluation 220: speed 0.030866, force 10.6485 N, moment 6.1589 Nm, torque margin -0.2876 Nm, penetration 0.000795 m
evaluation 230: speed 0.030866, force 10.6486 N, moment 6.1589 Nm, torque margin -0.2875 Nm, penetration 0.000795 m
evaluation 240: speed 0.030866, force 10.6485 N, moment 6.1589 Nm, torque margin -0.2876 Nm, penetration 0.000795 m
evaluation 250: speed 0.040160, force 7.3723 N, moment 4.5354 Nm, torque margin -0.4162 Nm, penetration 0.000812 m
evaluation 260: speed 0.040165, force 7.3715 N, moment 4.5352 Nm, torque margin -0.4164 Nm, penetration 0.000812 m
evaluation 270: speed 0.040165, force 7.3715 N, moment 4.5352 Nm, torque margin -0.4164 Nm, penetration 0.000812 m
evaluation 280: speed 0.040165, force 7.3715 N, moment 4.5352 Nm, torque margin -0.4164 Nm, penetration 0.000812 m
evaluation 290: speed 0.040165, force 7.3717 N, moment 4.5352 Nm, torque margin -0.4164 Nm, penetration 0.000812 m
evaluation 300: speed 0.040165, force 7.3715 N, moment 4.5352 Nm, torque margin -0.4164 Nm, penetration 0.000812 m
evaluation 310: speed 0.040165, force 7.3715 N, moment 4.5352 Nm, torque margin -0.4164 Nm, penetration 0.000812 m
evaluation 320: speed 0.040165, force 7.3715 N, moment 4.5352 Nm, torque margin -0.4164 Nm, penetration 0.000812 m
evaluation 330: speed 0.040165, force 7.3714 N, moment 4.5352 Nm, torque margin -0.4163 Nm, penetration 0.000812 m
evaluation 340: speed 0.035044, force 4.8412 N, moment 1.9947 Nm, torque margin -0.0511 Nm, penetration 0.000726 m
