evaluation 10: speed 0.066667, force 1.4855 N, moment 0.4806 Nm, torque margin 0.8659 Nm, penetration 0.000305 m
evaluation 20: speed 0.066667, force 1.4855 N, moment 0.4806 Nm, torque margin 0.8659 Nm, penetration 0.000305 m
evaluation 30: speed 0.066667, force 1.4854 N, moment 0.4806 Nm, torque margin 0.8659 Nm, penetration 0.000305 m
evaluation 40: speed 0.066667, force 1.4855 N, moment 0.4806 Nm, torque margin 0.8659 Nm, penetration 0.000305 m
evaluation 50: speed 0.066667, force 1.4855 N, moment 0.4806 Nm, torque margin 0.8659 Nm, penetration 0.000305 m
evaluation 60: speed 0.066667, force 1.4855 N, moment 0.4806 Nm, torque margin 0.8659 Nm, penetration 0.000305 m
evaluation 70: speed 0.066667, force 1.4855 N, moment 0.4806 Nm, torque margin 0.8659 Nm, penetration 0.000305 m
evaluation 80: speed 0.066667, force 1.4855 N, moment 0.4806 Nm, torque margin 0.8659 Nm, penetration 0.000305 m
evaluation 90: speed 0.066667, force 1.4855 N, moment 0.4806 Nm, torque margin 0.8659 Nm, penetration 0.000305 m
evaluation 100: speed 0.066667, force 1.4855 N, moment 0.4806 Nm, torque margin 0.8659 Nm, penetration 0.000305 m
evaluation 110: speed 0.053446, force 0.2749 N, moment 0.0889 Nm, torque margin 0.7982 Nm, penetration 0.000075 m
evaluation 120: speed 0.053456, force 0.2749 N, moment 0.0889 Nm, torque margin 0.7982 Nm, penetration 0.000075 m
evaluation 130: speed 0.053456, force 0.2749 N, moment 0.0889 Nm, torque margin 0.7982 Nm, penetration 0.000075 m
evaluation 140: speed 0.053456, force 0.2749 N, moment 0.0889 Nm, torque margin 0.7982 Nm, penetration 0.000075 m
evaluation 150: speed 0.053456, force 0.2749 N, moment 0.0889 Nm, torque margin 0.7982 Nm, penetration 0.000075 m
evaluation 160: speed 0.053456, force 0.2749 N, moment 0.0889 Nm, torque margin 0.7982 Nm, penetration 0.000075 m
evaluation 170: speed 0.053456, force 0.2749 N, moment 0.0889 Nm, torque margin 0.7982 Nm, penetration 0.000075 m
evaluation 180: speed 0.053456, force 0.2749 N, moment 0.0889 Nm, torque margin 0.7982 Nm, penetration 0.000075 m
evaluation 190: speed 0.053456, force 0.2754 N, moment 0.0891 Nm, torque margin 0.7982 Nm, penetration 0.000075 m
evaluation 200: speed 0.053456, force 0.2749 N, moment 0.0889 Nm, torque margin 0.7982 Nm, penetration 0.000075 m
evaluation 210: speed 0.053456, force 0.2749 N, moment 0.0889 Nm, torque margin 0.7981 Nm, penetration 0.000075 m
evaluation 220: speed 0.051564, force 0.0112 N, moment 0.0037 Nm, torque margin 0.8854 Nm, penetration 0.000014 m
evaluation 230: speed 0.051564, force 0.0112 N, moment 0.0036 Nm, torque margin 0.8854 Nm, penetration 0.000014 m
evaluation 240: speed 0.051564, force 0.0112 N, moment 0.0036 Nm, torque margin 0.8854 Nm, penetration 0.000014 m
evaluation 250: speed 0.051564, force 0.0112 N, moment 0.0036 Nm, torque margin 0.8854 Nm, penetration 0.000014 m
evaluation 260: speed 0.051564, force 0.0112 N, moment 0.0036 Nm, torque margin 0.8854 Nm, penetration 0.000014 m
evaluation 270: speed 0.051564, force 0.0112 N, moment 0.0036 Nm, torque margin 0.8854 Nm, penetration 0.000014 m
evaluation 280: speed 0.051564, force 0.0112 N, moment 0.0036 Nm, torque margin 0.8854 Nm, penetration 0.000014 m
evaluation 290: speed 0.051564, force 0.0112 N, moment 0.0036 Nm, torque margin 0.8853 Nm, penetration 0.000014 m
evaluation 300: speed 0.051564, force 0.0112 N, moment 0.0036 Nm, torque margin 0.8854 Nm, penetration 0.000014 m
evaluation 310: speed 0.051564, force 0.0112 N, moment 0.0036 Nm, torque margin 0.8854 Nm, penetration 0.000014 m
evaluation 320: speed 0.054341, force 0.0076 N, moment 0.0025 Nm, torque margin 0.9783 Nm, penetration 0.000004 m
evaluation 330: speed 0.054345, force 0.0076 N, moment 0.0025 Nm, torque margin 0.9783 Nm, penetration 0.000004 m
evaluation 340: speed 0.054345, force 0.0076 N, moment 0.0025 Nm, torque margin 0.9783 Nm, penetration 0.000004 m
evaluation 350: speed 0.054345, force 0.0075 N, moment 0.0024 Nm, torque margin 0.9785 Nm, penetration 0.000004 m
evaluation 360: speed 0.054345, force 0.0076 N, moment 0.0025 Nm, torque margin 0.9783 Nm, penetration 0.000004 m
evaluation 370: speed 0.054345, force 0.0076 N, moment 0.0025 Nm, torque margin 0.9783 Nm, penetration 0.000004 m
evaluation 380: speed 0.054345, force 0.0075 N, moment 0.0025 Nm, torque margin 0.9783 Nm, penetration 0.000004 m
evaluation 390: speed 0.054345, force 0.0077 N, moment 0.0025 Nm, torque margin 0.9783 Nm, penetration 0.000004 m
evaluation 400: speed 0.054345, force 0.0075 N, moment 0.0025 Nm, torque margin 0.9783 Nm, penetration 0.000004 m
evaluation 410: speed 0.054345, force 0.0075 N, moment 0.0024 Nm, torque margin 0.9784 Nm, penetration 0.000004 m
evaluation 420: speed 0.054345, force 0.0076 N, moment 0.0025 Nm, torque margin 0.9783 Nm, penetration 0.000004 m
