evaluation 10: speed 0.066667, force 1.6292 N, moment 0.5271 Nm, torque margin -0.0304 Nm, penetration 0.000396 m
evaluation 20: speed 0.066667, force 1.6281 N, moment 0.5268 Nm, torque margin -0.0304 Nm, penetration 0.000396 m
evaluation 30: speed 0.066667, force 1.6289 N, moment 0.5271 Nm, torque margin -0.0304 Nm, penetration 0.000396 m
evaluation 40: speed 0.066667, force 1.6292 N, moment 0.5271 Nm, torque margin -0.0304 Nm, penetration 0.000396 m
evaluation 50: speed 0.066667, force 1.6292 N, moment 0.5271 Nm, torque margin -0.0304 Nm, penetration 0.000396 m
evaluation 60: speed 0.066667, force 1.6288 N, moment 0.5270 Nm, torque margin -0.0304 Nm, penetration 0.000396 m
evaluation 70: speed 0.066667, force 1.6292 N, moment 0.5271 Nm, torque margin -0.0304 Nm, penetration 0.000396 m
evaluation 80: speed 0.066667, force 1.6292 N, moment 0.5271 Nm, torque margin -0.0304 Nm, penetration 0.000396 m
evaluation 90: speed 0.066667, force 1.6292 N, moment 0.5271 Nm, torque margin -0.0304 Nm, penetration 0.000396 m
evaluation 100: speed 0.066667, force 1.6292 N, moment 0.5271 Nm, torque margin -0.0304 Nm, penetration 0.000396 m
evaluation 110: speed 0.028502, force 0.3165 N, moment 0.1022 Nm, torque margin 0.7940 Nm, penetration 0.000311 m
evaluation 120: speed 0.028505, force 0.3164 N, moment 0.1022 Nm, torque margin 0.7940 Nm, penetration 0.000311 m
evaluation 130: speed 0.028505, force 0.3164 N, moment 0.1022 Nm, torque margin 0.7940 Nm, penetration 0.000311 m
evaluation 140: speed 0.028505, force 0.3164 N, moment 0.1022 Nm, torque margin 0.7940 Nm, penetration 0.000311 m
evaluation 150: speed 0.028505, force 0.3164 N, moment 0.1022 Nm, torque margin 0.7939 Nm, penetration 0.000311 m
evaluation 160: speed 0.028505, force 0.3164 N, moment 0.1022 Nm, torque margin 0.7940 Nm, penetration 0.000311 m
evaluation 170: speed 0.028505, force 0.3164 N, moment 0.1022 Nm, torque margin 0.7940 Nm, penetration 0.000311 m
evaluation 180: speed 0.028505, force 0.3164 N, moment 0.1022 Nm, torque margin 0.7940 Nm, penetration 0.000311 m
evaluation 190: speed 0.028505, force 0.3163 N, moment 0.1022 Nm, torque margin 0.7939 Nm, penetration 0.000311 m
evaluation 200: speed 0.028505, force 0.3164 N, moment 0.1022 Nm, torque margin 0.7940 Nm, penetration 0.000311 m
evaluation 210: speed 0.028505, force 0.3164 N, moment 0.1022 Nm, torque margin 0.7939 Nm, penetration 0.000311 m
evaluation 220: speed 0.028787, force 0.0789 N, moment 0.0255 Nm, torque margin 0.7511 Nm, penetration 0.000296 m
evaluation 230: speed 0.028777, force 0.0789 N, moment 0.0255 Nm, torque margin 0.7511 Nm, penetration 0.000296 m
evaluation 240: speed 0.028777, force 0.0789 N, moment 0.0255 Nm, torque margin 0.7511 Nm, penetration 0.000296 m
evaluation 250: speed 0.028777, force 0.0788 N, moment 0.0255 Nm, torque margin 0.7511 Nm, penetration 0.000296 m
evaluation 260: speed 0.028777, force 0.0789 N, moment 0.0255 Nm, torque margin 0.7511 Nm, penetration 0.000296 m
evaluation 270: speed 0.028777, force 0.0789 N, moment 0.0255 Nm, torque margin 0.7511 Nm, penetration 0.000296 m
evaluation 280: speed 0.028777, force 0.0789 N, moment 0.0255 Nm, torque margin 0.7511 Nm, penetration 0.000296 m
evaluation 290: speed 0.028777, force 0.0789 N, moment 0.0255 Nm, torque margin 0.7510 Nm, penetration 0.000296 m
evaluation 300: speed 0.028777, force 0.0789 N, moment 0.0255 Nm, torque margin 0.7511 Nm, penetration 0.000296 m
evaluation 310: speed 0.028777, force 0.0789 N, moment 0.0255 Nm, torque margin 0.7511 Nm, penetration 0.000296 m
evaluation 320: speed 0.028777, force 0.0789 N, moment 0.0255 Nm, torque margin 0.7511 Nm, penetration 0.000296 m
evaluation 330: speed 0.028786, force 0.0781 N, moment 0.0253 Nm, torque margin 0.7500 Nm, penetration 0.000296 m
evaluation 340: speed 0.028786, force 0.0796 N, moment 0.0257 Nm, torque margin 0.7500 Nm, penetration 0.000296 m
evaluation 350: speed 0.028786, force 0.0780 N, moment 0.0252 Nm, torque margin 0.7500 Nm, penetration 0.000296 m
evaluation 360: speed 0.028786, force 0.0780 N, moment 0.0252 Nm, torque margin 0.7500 Nm, penetration 0.000296 m
evaluation 370: speed 0.028786, force 0.0780 N, moment 0.0252 Nm, torque margin 0.7500 Nm, penetration 0.000296 m
evaluation 380: speed 0.028786, force 0.0780 N, moment 0.0252 Nm, torque margin 0.7500 Nm, penetration 0.000296 m
evaluation 390: speed 0.028786, force 0.0780 N, moment 0.0252 Nm, torque margin 0.7500 Nm, penetration 0.000296 m
evaluation 400: speed 0.028786, force 0.0780 N, moment 0.0252 Nm, torque margin 0.7500 Nm, penetration 0.000296 m
evaluation 410: speed 0.028786, force 0.0780 N, moment 0.0252 Nm, torque margin 0.7499 Nm, penetration 0.000296 m
evaluation 420: speed 0.028786, force 0.0780 N, moment 0.0252 Nm, torque margin 0.7500 Nm, penetration 0.000296 m
evaluation 430: speed 0.028789, force 0.0775 N, moment 0.0251 Nm, torque margin 0.7497 Nm, penetration 0.000296 m
evaluation 440: speed 0.028789, force 0.0775 N, moment 0.0251 Nm, torque margin 0.7497 Nm, penetration 0.000296 m
evaluation 450: speed 0.028789, force 0.0775 N, moment 0.0250 Nm, torque margin 0.7497 Nm, penetration 0.000296 m
evaluation 460: speed 0.028789, force 0.0775 N, moment 0.0251 Nm, torque margin 0.7496 Nm, penetration 0.000296 m
evaluation 470: speed 0.028789, force 0.0775 N, moment 0.0251 Nm, torque margin 0.7497 Nm, penetration 0.000296 m
evaluation 480: speed 0.028789, force 0.0775 N, moment 0.0251 Nm, torque margin 0.7497 Nm, penetration 0.000296 m
evaluation 490: speed 0.028789, force 0.0775 N, moment 0.0251 Nm, torque margin 0.7497 Nm, penetration 0.000296 m
evaluation 500: speed 0.028789, force 0.0778 N, moment 0.0251 Nm, torque margin 0.7497 Nm, penetration 0.000296 m
evaluation 510: speed 0.028789, force 0.0775 N, moment 0.0251 Nm, torque margin 0.7497 Nm, penetration 0.000296 m
evaluation 520: speed 0.028789, force 0.0774 N, moment 0.0250 Nm, torque margin 0.7496 Nm, penetration 0.000296 m
evaluation 530: speed 0.028789, force 0.0775 N, moment 0.0251 Nm, torque margin 0.7497 Nm, penetration 0.000296 m
evaluation 540: speed 0.028790, force 0.0773 N, moment 0.0250 Nm, torque margin 0.7496 Nm, penetration 0.000296 m
evaluation 550: speed 0.028790, force 0.0773 N, moment 0.0250 Nm, torque margin 0.7496 Nm, penetration 0.000296 m
evaluation 560: speed 0.028790, force 0.0773 N, moment 0.0250 Nm, torque margin 0.7496 Nm, penetration 0.000296 m
evaluation 570: speed 0.028790, force 0.0774 N, moment 0.0250 Nm, torque margin 0.7496 Nm, penetration 0.000296 m
evaluation 580: speed 0.028790, force 0.0773 N, moment 0.0250 Nm, torque margin 0.7496 Nm, penetration 0.000296 m
evaluation 590: speed 0.028790, force 0.0773 N, moment 0.0250 Nm, torque margin 0.7496 Nm, penetration 0.000296 m
evaluation 600: speed 0.028790, force 0.0773 N, moment 0.0250 Nm, torque margin 0.7496 Nm, penetration 0.000296 m
evaluation 610: speed 0.028790, force 0.0773 N, moment 0.0250 Nm, torque margin 0.7496 Nm, penetration 0.000296 m
evaluation 620: speed 0.028790, force 0.0773 N, moment 0.0250 Nm, torque margin 0.7496 Nm, penetration 0.000296 m
evaluation 630: speed 0.028790, force 0.0773 N, moment 0.0250 Nm, torque margin 0.7496 Nm, penetration 0.000296 m
evaluation 640: speed 0.028790, force 0.0773 N, moment 0.0250 Nm, torque margin 0.7496 Nm, penetration 0.000296 m
evaluation 650: speed 0.028793, force 0.0766 N, moment 0.0248 Nm, torque margin 0.7493 Nm, penetration 0.000296 m
evaluation 660: speed 0.028793, force 0.0764 N, moment 0.0247 Nm, torque margin 0.7493 Nm, penetration 0.000296 m
evaluation 670: speed 0.028793, force 0.0766 N, moment 0.0248 Nm, torque margin 0.7493 Nm, penetration 0.000296 m
evaluation 680: speed 0.028793, force 0.0766 N, moment 0.0248 Nm, torque margin 0.7493 Nm, penetration 0.000296 m
evaluation 690: speed 0.028793, force 0.0766 N, moment 0.0248 Nm, torque margin 0.7493 Nm, penetration 0.000296 m
evaluation 700: speed 0.028793, force 0.0766 N, moment 0.0248 Nm, torque margin 0.7493 Nm, penetration 0.000296 m
