evaluation 10: speed 0.066667, force 1.4103 N, moment 0.4563 Nm, torque margin 0.8966 Nm, penetration 0.000267 m
evaluation 20: speed 0.066667, force 1.4102 N, moment 0.4562 Nm, torque margin 0.8966 Nm, penetration 0.000267 m
evaluation 30: speed 0.066667, force 1.4102 N, moment 0.4562 Nm, torque margin 0.8966 Nm, penetration 0.000267 m
evaluation 40: speed 0.066667, force 1.4102 N, moment 0.4563 Nm, torque margin 0.8966 Nm, penetration 0.000267 m
evaluation 50: speed 0.066667, force 1.4103 N, moment 0.4563 Nm, torque margin 0.8966 Nm, penetration 0.000267 m
evaluation 60: speed 0.066667, force 1.4102 N, moment 0.4562 Nm, torque margin 0.8966 Nm, penetration 0.000267 m
evaluation 70: speed 0.066667, force 1.4102 N, moment 0.4563 Nm, torque margin 0.8966 Nm, penetration 0.000267 m
evaluation 80: speed 0.066667, force 1.4102 N, moment 0.4563 Nm, torque margin 0.8966 Nm, penetration 0.000267 m
evaluation 90: speed 0.066667, force 1.4102 N, moment 0.4562 Nm, torque margin 0.8966 Nm, penetration 0.000267 m
evaluation 100: speed 0.066667, force 1.4102 N, moment 0.4563 Nm, torque margin 0.8966 Nm, penetration 0.000267 m
evaluation 110: speed 0.041558, force 0.5127 N, moment 0.1659 Nm, torque margin 0.8987 Nm, penetration 0.000081 m
evaluation 120: speed 0.041549, force 0.5127 N, moment 0.1658 Nm, torque margin 0.8988 Nm, penetration 0.000081 m
evaluation 130: speed 0.041549, force 0.5127 N, moment 0.1658 Nm, torque margin 0.8987 Nm, penetration 0.000081 m
evaluation 140: speed 0.041549, force 0.5127 N, moment 0.1658 Nm, torque margin 0.8988 Nm, penetration 0.000081 m
evaluation 150: speed 0.041549, force 0.5127 N, moment 0.1658 Nm, torque margin 0.8988 Nm, penetration 0.000081 m
evaluation 160: speed 0.041549, force 0.5127 N, moment 0.1658 Nm, torque margin 0.8988 Nm, penetration 0.000081 m
evaluation 170: speed 0.041549, force 0.5127 N, moment 0.1658 Nm, torque margin 0.8987 Nm, penetration 0.000081 m
evaluation 180: speed 0.041549, force 0.5127 N, moment 0.1658 Nm, torque margin 0.8988 Nm, penetration 0.000081 m
evaluation 190: speed 0.041549, force 0.5129 N, moment 0.1659 Nm, torque margin 0.8988 Nm, penetration 0.000081 m
evaluation 200: speed 0.041549, force 0.5127 N, moment 0.1658 Nm, torque margin 0.8987 Nm, penetration 0.000081 m
evaluation 210: speed 0.041549, force 0.5126 N, moment 0.1658 Nm, torque margin 0.8987 Nm, penetration 0.000081 m
evaluation 220: speed 0.025000, force 0.0358 N, moment 0.0116 Nm, torque margin 0.8484 Nm, penetration 0.000096 m
evaluation 230: speed 0.025000, force 0.0358 N, moment 0.0116 Nm, torque margin 0.8484 Nm, penetration 0.000096 m
evaluation 240: speed 0.025000, force 0.0357 N, moment 0.0116 Nm, torque margin 0.8484 Nm, penetration 0.000096 m
evaluation 250: speed 0.025000, force 0.0357 N, moment 0.0116 Nm, torque margin 0.8484 Nm, penetration 0.000096 m
evaluation 260: speed 0.025000, force 0.0358 N, moment 0.0116 Nm, torque margin 0.8484 Nm, penetration 0.000096 m
evaluation 270: speed 0.025000, force 0.0358 N, moment 0.0116 Nm, torque margin 0.8484 Nm, penetration 0.000096 m
evaluation 280: speed 0.025000, force 0.0357 N, moment 0.0116 Nm, torque margin 0.8484 Nm, penetration 0.000096 m
evaluation 290: speed 0.025000, force 0.0358 N, moment 0.0116 Nm, torque margin 0.8484 Nm, penetration 0.000096 m
evaluation 300: speed 0.025000, force 0.0357 N, moment 0.0116 Nm, torque margin 0.8484 Nm, penetration 0.000096 m
evaluation 310: speed 0.025000, force 0.0357 N, moment 0.0116 Nm, torque margin 0.8483 Nm, penetration 0.000096 m
evaluation 320: speed 0.026579, force 0.0063 N, moment 0.0021 Nm, torque margin 0.8459 Nm, penetration 0.000047 m
evaluation 330: speed 0.026581, force 0.0062 N, moment 0.0020 Nm, torque margin 0.8459 Nm, penetration 0.000047 m
evaluation 340: speed 0.026581, force 0.0063 N, moment 0.0020 Nm, torque margin 0.8459 Nm, penetration 0.000047 m
evaluation 350: speed 0.026581, force 0.0062 N, moment 0.0020 Nm, torque margin 0.8459 Nm, penetration 0.000047 m
evaluation 360: speed 0.026581, force 0.0062 N, moment 0.0020 Nm, torque margin 0.8459 Nm, penetration 0.000047 m
evaluation 370: speed 0.026581, force 0.0062 N, moment 0.0020 Nm, torque margin 0.8459 Nm, penetration 0.000047 m
evaluation 380: speed 0.026581, force 0.0062 N, moment 0.0020 Nm, torque margin 0.8459 Nm, penetration 0.000047 m
evaluation 390: speed 0.026581, force 0.0065 N, moment 0.0021 Nm, torque margin 0.8459 Nm, penetration 0.000047 m
evaluation 400: speed 0.026581, force 0.0062 N, moment 0.0020 Nm, torque margin 0.8459 Nm, penetration 0.000047 m
evaluation 410: speed 0.026581, force 0.0062 N, moment 0.0020 Nm, torque margin 0.8459 Nm, penetration 0.000047 m
evaluation 420: speed 0.026581, force 0.0062 N, moment 0.0020 Nm, torque margin 0.8459 Nm, penetration 0.000047 m
evaluation 430: speed 0.026920, force 0.0031 N, moment 0.0010 Nm, torque margin 0.9024 Nm, penetration 0.000003 m
evaluation 440: speed 0.026920, force 0.0030 N, moment 0.0010 Nm, torque margin 0.9024 Nm, penetration 0.000003 m
evaluation 450: speed 0.026920, force 0.0030 N, moment 0.0010 Nm, torque margin 0.9023 Nm, penetration 0.000003 m
evaluation 460: speed 0.026920, force 0.0035 N, moment 0.0011 Nm, torque margin 0.9024 Nm, penetration 0.000003 m
evaluation 470: speed 0.026920, force 0.0031 N, moment 0.0010 Nm, torque margin 0.9023 Nm, penetration 0.000003 m
evaluation 480: speed 0.026920, force 0.0030 N, moment 0.0010 Nm, torque margin 0.9023 Nm, penetration 0.000003 m
evaluation 490: speed 0.026920, force 0.0031 N, moment 0.0010 Nm, torque margin 0.9024 Nm, penetration 0.000003 m
evaluation 500: speed 0.026920, force 0.0030 N, moment 0.0010 Nm, torque margin 0.9024 Nm, penetration 0.000003 m
evaluation 510: speed 0.026920, force 0.0031 N, moment 0.0010 Nm, torque margin 0.9023 Nm, penetration 0.000003 m
evaluation 520: speed 0.026920, force 0.0031 N, moment 0.0010 Nm, torque margin 0.9024 Nm, penetration 0.000003 m
evaluation 530: speed 0.026920, force 0.0030 N, moment 0.0010 Nm, torque margin 0.9024 Nm, penetration 0.000003 m
evaluation 540: speed 0.028524, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9059 Nm, penetration 0.000002 m
evaluation 550: speed 0.028524, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9059 Nm, penetration 0.000002 m
evaluation 560: speed 0.028524, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9059 Nm, penetration 0.000002 m
evaluation 570: speed 0.028524, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9059 Nm, penetration 0.000002 m
evaluation 580: speed 0.028524, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9059 Nm, penetration 0.000002 m
evaluation 590: speed 0.028524, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9059 Nm, penetration 0.000002 m
evaluation 600: speed 0.028524, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9058 Nm, penetration 0.000002 m
evaluation 610: speed 0.028524, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9059 Nm, penetration 0.000002 m
evaluation 620: speed 0.028524, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9059 Nm, penetration 0.000002 m
