evaluation 10: speed 0.196316, force 41.5973 N, moment 6.2285 Nm, torque margin -0.1633 Nm, penetration 0.000287 m
evaluation 20: speed 0.196316, force 41.5977 N, moment 6.2298 Nm, torque margin -0.1632 Nm, penetration 0.000287 m
evaluation 30: speed 0.196316, force 41.5970 N, moment 6.2284 Nm, torque margin -0.1633 Nm, penetration 0.000287 m
evaluation 40: speed 0.196316, force 41.5973 N, moment 6.2286 Nm, torque margin -0.1633 Nm, penetration 0.000287 m
evaluation 50: speed 0.196316, force 41.5973 N, moment 6.2284 Nm, torque margin -0.1633 Nm, penetration 0.000287 m
evaluation 60: speed 0.196316, force 41.5973 N, moment 6.2284 Nm, torque margin -0.1633 Nm, penetration 0.000288 m
evaluation 70: speed 0.196316, force 41.5973 N, moment 6.2285 Nm, torque margin -0.1633 Nm, penetration 0.000287 m
evaluation 80: speed 0.196316, force 41.5973 N, moment 6.2285 Nm, torque margin -0.1633 Nm, penetration 0.000287 m
evaluation 90: speed 0.196316, force 41.5973 N, moment 6.2285 Nm, torque margin -0.1633 Nm, penetration 0.000287 m
evaluation 100: speed 0.196316, force 41.5983 N, moment 6.2286 Nm, torque margin -0.1633 Nm, penetration 0.000287 m
evaluation 110: speed 0.126379, force 34.8158 N, moment 4.8350 Nm, torque margin -0.2234 Nm, penetration 0.000502 m
evaluation 120: speed 0.126389, force 34.8152 N, moment 4.8349 Nm, torque margin -0.2236 Nm, penetration 0.000502 m
evaluation 130: speed 0.126389, force 34.8152 N, moment 4.8349 Nm, torque margin -0.2236 Nm, penetration 0.000502 m
evaluation 140: speed 0.126389, force 34.8152 N, moment 4.8349 Nm, torque margin -0.2236 Nm, penetration 0.000502 m
evaluation 150: speed 0.126389, force 34.8150 N, moment 4.8348 Nm, torque margin -0.2236 Nm, penetration 0.000502 m
evaluation 160: speed 0.126389, force 34.8152 N, moment 4.8349 Nm, torque margin -0.2236 Nm, penetration 0.000502 m
evaluation 170: speed 0.126389, force 34.8152 N, moment 4.8349 Nm, torque margin -0.2236 Nm, penetration 0.000502 m
evaluation 180: speed 0.126389, force 34.8152 N, moment 4.8349 Nm, torque margin -0.2236 Nm, penetration 0.000502 m
evaluation 190: speed 0.126389, force 34.8152 N, moment 4.8349 Nm, torque margin -0.2236 Nm, penetration 0.000502 m
evaluation 200: speed 0.126389, force 34.8149 N, moment 4.8348 Nm, torque margin -0.2235 Nm, penetration 0.000502 m
evaluation 210: speed 0.360000, force 39.9119 N, moment 4.7367 Nm, torque margin -2.7837 Nm, penetration 0.000693 m
evaluation 220: speed 0.129172, force 8.2930 N, moment 4.2970 Nm, torque margin -0.2594 Nm, penetration 0.000440 m
evaluation 230: speed 0.129172, force 8.2929 N, moment 4.2970 Nm, torque margin -0.2594 Nm, penetration 0.000440 m
evaluation 240: speed 0.129172, force 8.2930 N, moment 4.2971 Nm, torque margin -0.2594 Nm, penetration 0.000440 m
evaluation 250: speed 0.129172, force 8.2930 N, moment 4.2971 Nm, torque margin -0.2594 Nm, penetration 0.000440 m
evaluation 260: speed 0.129172, force 8.2930 N, moment 4.2971 Nm, torque margin -0.2594 Nm, penetration 0.000440 m
evaluation 270: speed 0.129172, force 8.2928 N, moment 4.2970 Nm, torque margin -0.2594 Nm, penetration 0.000440 m
evaluation 280: speed 0.129172, force 8.2930 N, moment 4.2971 Nm, torque margin -0.2594 Nm, penetration 0.000440 m
evaluation 290: speed 0.129172, force 8.2930 N, moment 4.2971 Nm, torque margin -0.2594 Nm, penetration 0.000440 m
evaluation 300: speed 0.129172, force 8.2930 N, moment 4.2971 Nm, torque margin -0.2593 Nm, penetration 0.000440 m
evaluation 310: speed 0.129172, force 8.2930 N, moment 4.2971 Nm, torque margin -0.2594 Nm, penetration 0.000440 m
evaluation 320: speed 0.129528, force 8.2547 N, moment 4.2920 Nm, torque margin -0.2610 Nm, penetration 0.000448 m
evaluation 330: speed 0.129528, force 8.2547 N, moment 4.2920 Nm, torque margin -0.2610 Nm, penetration 0.000448 m
evaluation 340: speed 0.129528, force 8.2547 N, moment 4.2920 Nm, torque margin -0.2610 Nm, penetration 0.000448 m
evaluation 350: speed 0.129528, force 8.2547 N, moment 4.2920 Nm, torque margin -0.2610 Nm, penetration 0.000448 m
evaluation 360: speed 0.129528, force 8.2546 N, moment 4.2919 Nm, torque margin -0.2610 Nm, penetration 0.000448 m
evaluation 370: speed 0.129528, force 8.2547 N, moment 4.2920 Nm, torque margin -0.2610 Nm, penetration 0.000448 m
evaluation 380: speed 0.129528, force 8.2546 N, moment 4.2919 Nm, torque margin -0.2611 Nm, penetration 0.000448 m
evaluation 390: speed 0.129528, force 8.2547 N, moment 4.2920 Nm, torque margin -0.2611 Nm, penetration 0.000448 m
evaluation 400: speed 0.129528, force 8.2547 N, moment 4.2920 Nm, torque margin -0.2610 Nm, penetration 0.000448 m
