evaluation 10: speed 0.059272, force 0.0407 N, moment 0.0132 Nm, torque margin 0.7784 Nm, penetration 0.000000 m
evaluation 20: speed 0.059272, force 0.0406 N, moment 0.0132 Nm, torque margin 0.7788 Nm, penetration 0.000000 m
evaluation 30: speed 0.059272, force 0.0407 N, moment 0.0132 Nm, torque margin 0.7784 Nm, penetration 0.000000 m
evaluation 40: speed 0.059272, force 0.0407 N, moment 0.0132 Nm, torque margin 0.7784 Nm, penetration 0.000000 m
evaluation 50: speed 0.059272, force 0.0407 N, moment 0.0132 Nm, torque margin 0.7784 Nm, penetration 0.000000 m
evaluation 60: speed 0.059272, force 0.0405 N, moment 0.0131 Nm, torque margin 0.7784 Nm, penetration 0.000000 m
evaluation 70: speed 0.059272, force 0.0407 N, moment 0.0132 Nm, torque margin 0.7784 Nm, penetration 0.000000 m
evaluation 80: speed 0.059272, force 0.0409 N, moment 0.0133 Nm, torque margin 0.7785 Nm, penetration 0.000000 m
evaluation 90: speed 0.059272, force 0.0407 N, moment 0.0132 Nm, torque margin 0.7784 Nm, penetration 0.000000 m
evaluation 100: speed 0.059272, force 0.0407 N, moment 0.0132 Nm, torque margin 0.7784 Nm, penetration 0.000000 m
evaluation 110: speed 0.063576, force 0.0238 N, moment 0.0077 Nm, torque margin 0.6538 Nm, penetration 0.000020 m
evaluation 120: speed 0.063582, force 0.0238 N, moment 0.0077 Nm, torque margin 0.6536 Nm, penetration 0.000020 m
evaluation 130: speed 0.063582, force 0.0238 N, moment 0.0077 Nm, torque margin 0.6536 Nm, penetration 0.000020 m
evaluation 140: speed 0.063582, force 0.0238 N, moment 0.0077 Nm, torque margin 0.6536 Nm, penetration 0.000020 m
evaluation 150: speed 0.063582, force 0.0238 N, moment 0.0077 Nm, torque margin 0.6536 Nm, penetration 0.000020 m
evaluation 160: speed 0.063582, force 0.0239 N, moment 0.0077 Nm, torque margin 0.6536 Nm, penetration 0.000020 m
evaluation 170: speed 0.063582, force 0.0238 N, moment 0.0077 Nm, torque margin 0.6536 Nm, penetration 0.000020 m
evaluation 180: speed 0.063582, force 0.0238 N, moment 0.0077 Nm, torque margin 0.6536 Nm, penetration 0.000020 m
evaluation 190: speed 0.063582, force 0.0237 N, moment 0.0076 Nm, torque margin 0.6535 Nm, penetration 0.000020 m
evaluation 200: speed 0.063582, force 0.0238 N, moment 0.0077 Nm, torque margin 0.6536 Nm, penetration 0.000020 m
evaluation 210: speed 0.063582, force 0.0238 N, moment 0.0077 Nm, torque margin 0.6536 Nm, penetration 0.000020 m
evaluation 220: speed 0.075459, force 0.0283 N, moment 0.0091 Nm, torque margin 0.3275 Nm, penetration 0.000052 m
evaluation 230: speed 0.075459, force 0.0283 N, moment 0.0091 Nm, torque margin 0.3275 Nm, penetration 0.000052 m
evaluation 240: speed 0.075459, force 0.0283 N, moment 0.0091 Nm, torque margin 0.3272 Nm, penetration 0.000052 m
evaluation 250: speed 0.075459, force 0.0283 N, moment 0.0091 Nm, torque margin 0.3275 Nm, penetration 0.000052 m
evaluation 260: speed 0.075459, force 0.0283 N, moment 0.0091 Nm, torque margin 0.3275 Nm, penetration 0.000052 m
evaluation 270: speed 0.075459, force 0.0282 N, moment 0.0091 Nm, torque margin 0.3275 Nm, penetration 0.000052 m
evaluation 280: speed 0.075459, force 0.0283 N, moment 0.0091 Nm, torque margin 0.3273 Nm, penetration 0.000052 m
evaluation 290: speed 0.075459, force 0.0283 N, moment 0.0091 Nm, torque margin 0.3275 Nm, penetration 0.000052 m
evaluation 300: speed 0.075459, force 0.0283 N, moment 0.0091 Nm, torque margin 0.3274 Nm, penetration 0.000052 m
evaluation 310: speed 0.075459, force 0.0283 N, moment 0.0091 Nm, torque margin 0.3275 Nm, penetration 0.000052 m
evaluation 320: speed 0.111408, force 0.1027 N, moment 0.0331 Nm, torque margin -0.1436 Nm, penetration 0.000085 m
evaluation 330: speed 0.079345, force 0.0323 N, moment 0.0104 Nm, torque margin 0.2305 Nm, penetration 0.000061 m
evaluation 340: speed 0.079345, force 0.0323 N, moment 0.0104 Nm, torque margin 0.2308 Nm, penetration 0.000061 m
evaluation 350: speed 0.079345, force 0.0324 N, moment 0.0104 Nm, torque margin 0.2305 Nm, penetration 0.000061 m
evaluation 360: speed 0.079345, force 0.0323 N, moment 0.0104 Nm, torque margin 0.2305 Nm, penetration 0.000061 m
evaluation 370: speed 0.079345, force 0.0323 N, moment 0.0104 Nm, torque margin 0.2305 Nm, penetration 0.000061 m
evaluation 380: speed 0.079345, force 0.0322 N, moment 0.0104 Nm, torque margin 0.2304 Nm, penetration 0.000061 m
evaluation 390: speed 0.079345, force 0.0323 N, moment 0.0104 Nm, torque margin 0.2305 Nm, penetration 0.000061 m
evaluation 400: speed 0.079345, force 0.0321 N, moment 0.0104 Nm, torque margin 0.2305 Nm, penetration 0.000061 m
evaluation 410: speed 0.079345, force 0.0323 N, moment 0.0104 Nm, torque margin 0.2305 Nm, penetration 0.000061 m
evaluation 420: speed 0.079345, force 0.0323 N, moment 0.0104 Nm, torque margin 0.2305 Nm, penetration 0.000061 m
evaluation 430: speed 0.080548, force 0.0340 N, moment 0.0110 Nm, torque margin 0.2025 Nm, penetration 0.000063 m
evaluation 440: speed 0.080556, force 0.0341 N, moment 0.0110 Nm, torque margin 0.2023 Nm, penetration 0.000063 m
evaluation 450: speed 0.080556, force 0.0341 N, moment 0.0110 Nm, torque margin 0.2023 Nm, penetration 0.000063 m
evaluation 460: speed 0.080556, force 0.0340 N, moment 0.0110 Nm, torque margin 0.2023 Nm, penetration 0.000063 m
evaluation 470: speed 0.080556, force 0.0341 N, moment 0.0110 Nm, torque margin 0.2023 Nm, penetration 0.000063 m
