evaluation 10: speed 0.200021, force 0.1216 N, moment 0.0392 Nm, torque margin -0.0163 Nm, penetration 0.000058 m
evaluation 20: speed 0.200021, force 0.1217 N, moment 0.0392 Nm, torque margin -0.0158 Nm, penetration 0.000058 m
evaluation 30: speed 0.200021, force 0.1218 N, moment 0.0392 Nm, torque margin -0.0163 Nm, penetration 0.000058 m
evaluation 40: speed 0.200021, force 0.1216 N, moment 0.0392 Nm, torque margin -0.0163 Nm, penetration 0.000058 m
evaluation 50: speed 0.200021, force 0.1216 N, moment 0.0392 Nm, torque margin -0.0163 Nm, penetration 0.000058 m
evaluation 60: speed 0.200021, force 0.1217 N, moment 0.0392 Nm, torque margin -0.0164 Nm, penetration 0.000058 m
evaluation 70: speed 0.200021, force 0.1216 N, moment 0.0392 Nm, torque margin -0.0163 Nm, penetration 0.000058 m
evaluation 80: speed 0.200021, force 0.1219 N, moment 0.0392 Nm, torque margin -0.0161 Nm, penetration 0.000058 m
evaluation 90: speed 0.200021, force 0.1216 N, moment 0.0392 Nm, torque margin -0.0163 Nm, penetration 0.000058 m
evaluation 100: speed 0.200021, force 0.1216 N, moment 0.0391 Nm, torque margin -0.0163 Nm, penetration 0.000058 m
evaluation 110: speed 0.191005, force 0.0884 N, moment 0.0285 Nm, torque margin -0.0118 Nm, penetration 0.000054 m
evaluation 120: speed 0.191022, force 0.0884 N, moment 0.0284 Nm, torque margin -0.0118 Nm, penetration 0.000054 m
evaluation 130: speed 0.191022, force 0.0884 N, moment 0.0284 Nm, torque margin -0.0118 Nm, penetration 0.000054 m
evaluation 140: speed 0.191022, force 0.0883 N, moment 0.0284 Nm, torque margin -0.0118 Nm, penetration 0.000054 m
evaluation 150: speed 0.191022, force 0.0880 N, moment 0.0283 Nm, torque margin -0.0117 Nm, penetration 0.000054 m
evaluation 160: speed 0.191022, force 0.0884 N, moment 0.0284 Nm, torque margin -0.0118 Nm, penetration 0.000054 m
evaluation 170: speed 0.191022, force 0.0884 N, moment 0.0284 Nm, torque margin -0.0118 Nm, penetration 0.000054 m
evaluation 180: speed 0.191022, force 0.0884 N, moment 0.0284 Nm, torque margin -0.0118 Nm, penetration 0.000054 m
evaluation 190: speed 0.191022, force 0.0884 N, moment 0.0284 Nm, torque margin -0.0118 Nm, penetration 0.000054 m
evaluation 200: speed 0.191022, force 0.0879 N, moment 0.0283 Nm, torque margin -0.0118 Nm, penetration 0.000054 m
evaluation 210: speed 0.191022, force 0.0884 N, moment 0.0284 Nm, torque margin -0.0118 Nm, penetration 0.000054 m
evaluation 220: speed 0.190310, force 0.0783 N, moment 0.0252 Nm, torque margin -0.0095 Nm, penetration 0.000045 m
evaluation 230: speed 0.190310, force 0.0773 N, moment 0.0249 Nm, torque margin -0.0095 Nm, penetration 0.000045 m
evaluation 240: speed 0.190310, force 0.0782 N, moment 0.0252 Nm, torque margin -0.0095 Nm, penetration 0.000045 m
evaluation 250: speed 0.190310, force 0.0782 N, moment 0.0252 Nm, torque margin -0.0095 Nm, penetration 0.000045 m
evaluation 260: speed 0.190310, force 0.0782 N, moment 0.0252 Nm, torque margin -0.0095 Nm, penetration 0.000045 m
evaluation 270: speed 0.190310, force 0.0782 N, moment 0.0252 Nm, torque margin -0.0095 Nm, penetration 0.000045 m
evaluation 280: speed 0.190310, force 0.0782 N, moment 0.0252 Nm, torque margin -0.0095 Nm, penetration 0.000045 m
evaluation 290: speed 0.190310, force 0.0784 N, moment 0.0252 Nm, torque margin -0.0095 Nm, penetration 0.000045 m
evaluation 300: speed 0.190310, force 0.0782 N, moment 0.0252 Nm, torque margin -0.0095 Nm, penetration 0.000045 m
evaluation 310: speed 0.190310, force 0.0782 N, moment 0.0252 Nm, torque margin -0.0095 Nm, penetration 0.000045 m
evaluation 320: speed 0.189046, force 0.0550 N, moment 0.0177 Nm, torque margin -0.0051 Nm, penetration 0.000046 m
evaluation 330: speed 0.189063, force 0.0549 N, moment 0.0177 Nm, torque margin -0.0051 Nm, penetration 0.000046 m
